confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
30,2018-11-24 23:00,8,,,1,主,19,6.54,0,25,78,77,363,0,465,0,,55%,第13轮,1 : 1,0,3,4,10,14
57,2018-10-06 03:00,11,,,1,主,17,7.04,0,12,68,63,224,0,299,0,,35%,第8轮,1 : 0,1,4,2,5,8
34,2018-08-19 23:00,3,,,3,主,28,6.67,0,13,65,78,208,0,299,1,,33%,第2轮,3 : 2,0,3,3,2,6
62,2018-12-16 21:30,5,,,1,主,24,6.39,0,16,80,67,396,1,480,0,,42%,第17轮,1 : 2,0,2,2,4,6
59,2018-09-23 00:30,4,,,1,主,13,6.42,0,15,74,53,205,0,273,0,,29%,第6轮,1 : 2,1,4,3,4,8
45,2018-10-27 22:00,12,,,1,主,19,7.08,0,9,72,76,288,0,373,0,,40%,第10轮,1 : 0,0,1,3,4,7
52,2018-12-27 01:15,2,,,1,主,19,6.66,0,17,74,64,264,0,345,0,,32%,第19轮,1 : 1,3,3,1,8,12
55,2019-04-17 02:45,10,,,0,主,18,6.45,0,22,77,60,465,2,549,0,,64%,第31轮,0 : 2,0,2,5,9,14
59,2019-02-10 01:30,6,,,1,主,11,6.47,0,41,79,77,446,0,564,0,,68%,第26轮,1 : 3,0,6,8,8,16
55,2019-03-02 23:00,11,,,1,主,22,7.05,0,19,81,54,410,0,483,0,,53%,第29轮,1 : 0,0,4,5,9,14
58,2019-05-12 22:00,4,,,1,主,16,6.21,0,6,72,57,192,1,256,0,,24%,第38轮,1 : 4,1,2,5,0,6
43,2019-01-12 23:00,3,,,0,主,12,6.24,0,16,68,76,230,0,322,0,,29%,第22轮,0 : 1,0,0,1,6,7
52,2019-02-02 23:00,19,,,0,主,21,7.18,0,27,77,74,388,1,490,0,,55%,第25轮,0 : 0,0,4,8,13,21
63,2019-03-30 23:00,13,,,0,主,20,6.73,0,21,74,90,443,0,554,0,,60%,第32轮,0 : 1,0,1,5,9,14
44,2018-12-29 23:00,6,,,1,主,23,7.11,0,18,70,81,270,1,370,0,,45%,第20轮,1 : 0,0,3,4,6,10
47,2018-12-05 03:45,7,,,3,主,30,6.98,0,12,70,59,211,0,282,1,,32%,第15轮,3 : 1,2,3,4,2,9
67,2019-04-28 00:30,8,,,1,主,11,6.6,0,33,81,60,409,0,502,0,,50%,第36轮,1 : 1,0,2,4,5,9
50,2018-09-01 22:00,7,,,2,主,17,6.58,0,29,77,67,306,1,403,2,,42%,第4轮,2 : 2,0,5,4,9,15
45,2019-04-13 22:00,5,,,0,主,19,5.74,0,20,79,72,402,0,494,0,,50%,第34轮,0 : 5,0,1,1,7,8
