confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
57,2018-10-21 23:00,8,,,2,主,21,7.22,0,29,83,48,465,1,543,0,,60%,第9轮,2 : 0,1,4,4,15,20
44,2018-09-29 22:00,7,,,3,主,25,7.3,0,31,82,52,345,0,428,1,,51%,第7轮,3 : 0,2,6,5,11,19
42,2018-08-18 22:00,8,,,2,主,18,6.97,0,19,74,69,356,3,447,0,,58%,第2轮,2 : 1,0,7,5,8,13
47,2018-09-01 22:00,3,,,1,主,15,6.6,0,19,83,57,412,0,488,0,,58%,第4轮,1 : 1,1,1,4,6,11
52,2018-11-24 23:00,12,,,1,主,12,6.94,0,26,80,50,470,2,548,0,,71%,第13轮,1 : 0,0,8,5,11,16
59,2018-11-03 23:00,10,,,3,主,18,6.97,0,34,83,50,446,1,531,0,,62%,第11轮,3 : 1,0,3,4,10,14
49,2018-12-06 03:45,14,,,1,主,14,6.67,0,52,84,50,599,1,702,0,,76%,第15轮,1 : 1,1,3,3,15,19
47,2019-01-13 22:15,7,,,2,主,19,7.18,0,20,75,50,348,2,420,0,,51%,第22轮,2 : 0,1,3,7,7,15
42,2019-05-04 03:00,10,,,2,主,20,7.09,1,23,84,62,493,2,580,0,,60%,第37轮,2 : 0,0,6,4,16,21
46,2019-03-04 00:15,10,,,0,主,19,6.91,0,20,63,82,268,1,371,0,,42%,第29轮,0 : 0,0,3,3,4,7
56,2019-04-07 21:05,8,,,1,主,19,6.95,0,21,78,60,326,1,408,0,,43%,第33轮,1 : 0,2,6,7,14,23
46,2019-04-21 20:30,3,,,4,主,17,7.41,0,26,79,56,328,2,412,0,,48%,第35轮,4 : 0,1,8,8,6,15
62,2019-02-02 23:00,11,,,1,主,18,6.35,0,17,81,68,471,1,557,0,,64%,第25轮,1 : 3,0,4,5,8,13
37,2018-12-24 00:00,4,,,2,主,11,5.9,0,19,76,69,351,0,439,0,,41%,第18轮,2 : 6,0,3,1,9,10
51,2019-01-01 20:30,6,,,0,主,18,6.43,0,30,74,65,468,2,565,0,,60%,第21轮,0 : 1,0,2,7,10,17
48,2018-12-11 04:00,7,,,2,主,22,6.68,0,24,78,58,362,1,445,1,,57%,第16轮,2 : 2,0,5,4,7,12
47,2018-09-16 23:00,13,,,1,主,22,6.33,0,23,77,62,408,1,494,0,,56%,第5轮,1 : 3,0,4,6,10,16
42,2019-03-18 00:30,6,,,2,主,13,7.04,0,13,73,65,252,2,332,1,,33%,第31轮,2 : 0,0,8,6,8,15
38,2019-02-07 03:45,14,,,0,主,26,6.36,0,18,75,71,267,0,356,0,,39%,第27轮,0 : 2,0,1,3,1,4
