confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
33,2018-08-11 22:00,8,,,0,主,27,6.56,0,32,88,70,609,3,714,0,,66%,第1轮,0 : 2,0,6,4,11,15
52,2018-12-16 01:30,16,,,0,主,16,6.41,0,26,80,57,446,2,531,0,,56%,第17轮,0 : 2,0,4,5,11,16
62,2018-09-22 19:30,4,,,1,主,14,6.81,0,26,76,75,460,1,562,0,,61%,第6轮,1 : 1,2,3,4,9,15
45,2018-08-26 23:00,4,,,4,主,9,7.07,0,16,85,73,503,0,592,0,,64%,第3轮,4 : 2,0,12,3,22,25
59,2018-10-07 19:00,3,,,1,主,16,6.21,0,17,81,64,417,3,501,0,,49%,第8轮,1 : 5,0,4,5,16,21
48,2018-12-26 20:30,9,,,1,主,15,6.75,0,12,71,70,219,0,301,0,,30%,第19轮,1 : 1,0,5,3,8,11
61,2018-12-06 03:45,9,,,1,主,7,6.74,0,24,66,68,250,1,343,0,,45%,第15轮,1 : 1,0,7,10,15,25
25,2019-03-03 22:05,10,,,1,主,14,6.57,0,16,80,54,331,2,403,0,,36%,第29轮,1 : 2,0,5,5,7,12
49,2019-04-27 22:00,13,,,1,主,22,7.07,0,18,87,47,582,0,647,0,,73%,第36轮,1 : 0,0,2,0,8,8
59,2019-05-12 22:00,11,,,0,主,12,6.15,0,28,90,51,716,2,797,0,,68%,第38轮,0 : 4,0,2,3,13,16
46,2019-01-30 03:45,11,,,4,主,6,7.25,0,33,85,70,556,1,660,0,,62%,第24轮,4 : 2,1,8,4,19,24
46,2019-03-17 22:15,11,,,1,主,21,6.49,0,5,75,74,297,1,377,0,,37%,第31轮,1 : 2,1,2,0,6,7
37,2019-02-09 20:30,13,,,0,主,19,6.22,0,22,78,70,439,1,532,0,,51%,第26轮,0 : 3,1,3,5,9,15
43,2019-01-21 00:00,8,,,1,主,13,6.41,1,17,69,65,188,0,270,0,,27%,第23轮,1 : 2,0,4,4,8,13
60,2018-12-29 23:00,5,,,1,主,8,6.94,0,22,75,70,335,0,427,1,,44%,第20轮,1 : 0,1,5,3,9,14
75,2018-10-27 22:00,5,,,0,主,10,6.23,0,16,83,57,495,1,569,0,,52%,第10轮,0 : 3,0,1,4,7,11
55,2018-11-24 23:00,11,,,3,主,20,7.06,0,11,71,73,300,1,385,0,,37%,第13轮,3 : 2,1,5,2,7,10
67,2019-03-30 20:30,9,,,0,主,20,6.23,0,10,79,57,308,0,375,0,,35%,第32轮,0 : 2,0,0,2,3,5
51,2019-04-13 22:00,12,,,2,主,20,7.15,0,12,73,70,274,1,357,0,,41%,第34轮,2 : 0,1,5,4,7,12
