confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
56,2018-08-11 22:00,6,,,0,主,25,6.32,0,23,76,89,286,1,399,0,,37%,第1轮,0 : 3,0,1,2,3,5
69,2018-11-10 23:00,5,,,1,主,18,6.85,0,17,73,63,296,3,379,0,,44%,第12轮,1 : 1,0,7,3,12,15
40,2018-09-29 22:00,6,,,0,主,23,6.37,0,20,74,81,344,0,445,0,,53%,第7轮,0 : 2,0,5,4,4,8
44,2018-08-25 22:00,3,,,0,主,14,6.54,0,26,76,71,331,0,428,0,,58%,第3轮,0 : 0,0,1,2,3,5
50,2018-11-06 04:00,5,,,1,主,25,6.89,1,26,67,75,315,0,416,0,,45%,第11轮,1 : 0,1,2,4,4,10
57,2018-09-15 22:00,7,,,0,主,17,6.48,0,30,83,74,428,0,532,0,,58%,第5轮,0 : 1,0,2,4,10,14
59,2018-12-15 23:00,9,,,0,主,19,6.67,0,41,81,86,545,0,672,0,,73%,第17轮,0 : 1,0,5,7,8,15
51,2018-10-21 00:30,4,,,0,主,20,6.5,0,27,80,61,465,1,554,0,,48%,第9轮,0 : 1,0,1,1,12,13
68,2018-12-22 23:00,2,,,1,主,16,6.33,0,31,76,86,443,1,561,0,,62%,第18轮,1 : 3,0,5,4,10,14
55,2019-01-03 03:45,5,,,1,主,18,6.59,0,18,65,81,280,0,379,0,,43%,第21轮,1 : 2,0,2,3,5,8
48,2019-01-20 21:30,3,,,0,主,22,6.04,0,14,72,54,293,1,362,0,,32%,第23轮,0 : 3,0,2,0,5,5
34,2018-12-01 23:00,2,,,0,主,13,6.3,0,12,69,56,211,0,279,0,,32%,第14轮,1 : 2,0,2,2,2,4
50,2019-04-06 22:00,5,,,1,主,17,6.17,0,21,76,74,299,1,395,1,,45%,第33轮,1 : 4,0,4,2,7,10
62,2019-02-27 03:45,5,,,1,主,21,6.9,0,22,77,61,389,0,472,0,,50%,第28轮,1 : 0,0,3,3,11,14
57,2019-01-30 03:45,13,,,0,主,17,6.52,0,26,79,76,472,2,576,0,,58%,第24轮,0 : 1,0,2,2,8,10
65,2019-03-09 23:00,12,,,0,主,18,6.37,0,31,79,56,411,1,499,0,,57%,第30轮,0 : 2,0,1,1,7,8
55,2019-04-20 22:00,7,,,1,主,15,6.48,0,14,81,48,335,0,397,0,,46%,第35轮,1 : 2,1,3,5,7,13
50,2019-05-05 21:00,5,,,1,主,18,6.52,0,9,70,56,283,0,348,0,,36%,第37轮,1 : 1,3,3,1,3,7
50,2019-02-09 23:00,8,,,1,主,26,6.56,1,25,79,60,425,0,510,0,,55%,第26轮,1 : 2,1,6,4,10,16
