confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
39,2018-12-06 03:45,4,,,1,客,14,6.68,0,21,67,86,302,2,411,0,,55%,第15轮,1 : 1,1,5,6,6,13
52,2018-11-03 23:00,5,,,1,客,11,6.98,0,27,76,56,352,1,436,0,,60%,第11轮,0 : 1,1,5,5,7,13
57,2018-08-11 03:00,9,,,1,客,14,6.44,0,27,83,56,496,1,580,0,,54%,第1轮,2 : 1,0,4,3,10,13
70,2018-11-24 23:00,6,,,1,客,17,6.48,0,12,74,60,311,0,383,1,,45%,第13轮,1 : 1,0,3,3,4,8
52,2018-10-23 03:00,10,,,1,客,14,6.29,1,12,74,56,255,2,325,0,,31%,第9轮,3 : 1,1,2,4,3,9
49,2019-01-01 20:30,16,,,1,客,26,7.22,0,14,66,78,290,2,384,0,,40%,第21轮,0 : 1,1,4,1,6,8
62,2018-09-29 22:00,4,,,2,客,22,7.16,0,23,79,76,451,1,551,1,,59%,第7轮,0 : 2,1,5,7,3,12
52,2019-01-19 20:30,17,,,3,客,14,6.71,1,22,73,59,396,0,477,0,,54%,第23轮,4 : 3,1,6,3,12,17
59,2018-09-15 22:00,8,,,2,客,20,6.4,0,28,76,70,332,2,432,1,,53%,第5轮,4 : 2,1,8,4,8,14
56,2019-01-31 04:00,16,,,1,客,19,6.83,0,14,65,56,244,4,318,0,,28%,第24轮,1 : 1,1,2,3,1,5
61,2018-12-22 23:00,8,,,1,客,23,7.14,0,20,68,70,195,1,286,0,,28%,第18轮,0 : 1,0,3,1,7,8
53,2018-12-15 23:00,9,,,0,客,24,6.42,0,25,78,79,420,1,525,0,,57%,第17轮,1 : 0,0,2,1,10,11
59,2019-02-10 21:30,10,,,1,客,12,6.61,0,23,81,64,373,5,465,1,,47%,第26轮,3 : 1,0,9,6,13,20
52,2019-03-03 20:00,9,,,1,客,13,6.57,0,22,84,58,518,3,601,0,,61%,第29轮,2 : 1,0,2,6,8,14
40,2019-03-16 23:00,4,,,2,客,12,6.64,0,16,66,69,226,2,313,0,,38%,第31轮,1 : 2,1,4,3,5,9
48,2018-08-25 22:00,3,,,2,客,14,6.74,0,15,83,60,368,1,444,0,,48%,第3轮,1 : 2,0,5,1,7,8
50,2019-04-06 22:00,15,,,4,客,16,7.15,0,16,82,46,421,4,487,1,,55%,第33轮,1 : 4,0,9,6,11,18
63,2019-04-20 22:00,16,,,2,客,27,6.83,0,20,82,52,374,7,453,0,,51%,第35轮,2 : 2,1,5,2,8,11
65,2019-05-07 03:00,11,,,0,客,22,6.67,0,7,81,74,344,0,425,0,,39%,第37轮,1 : 0,0,2,0,7,7
