confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
53,2018-10-20 22:00,10,,,0,主,17,6.71,0,41,82,67,445,0,553,0,,68%,第9轮,0 : 1,0,6,4,23,27
42,2018-11-03 23:00,8,,,1,主,20,6.92,0,20,68,70,259,1,350,0,,42%,第11轮,1 : 0,0,2,6,4,10
48,2018-08-26 23:00,2,,,1,主,21,6.44,0,17,65,63,141,0,221,0,,19%,第3轮,1 : 2,0,2,1,5,6
50,2018-09-15 22:00,3,,,1,主,20,6.43,0,24,66,74,259,1,358,0,,36%,第5轮,1 : 2,0,2,1,3,4
41,2018-12-01 23:00,8,,,0,主,11,6.14,0,35,82,69,429,0,533,0,,59%,第14轮,0 : 3,0,4,5,11,16
44,2018-12-10 00:00,8,,,1,主,13,6.56,0,30,79,62,365,0,457,0,,50%,第16轮,1 : 2,0,4,6,6,12
61,2018-08-11 19:30,15,,,1,主,14,6.69,0,12,69,74,313,6,405,0,,40%,第1轮,1 : 2,0,2,5,10,15
40,2019-04-06 22:00,6,,,0,主,18,6.53,0,39,83,62,379,0,480,0,,54%,第33轮,0 : 1,0,5,7,11,18
43,2019-05-05 02:45,5,,,2,主,12,6.59,0,18,69,73,227,0,318,0,,31%,第37轮,2 : 3,1,7,2,11,14
65,2019-04-21 00:30,11,,,3,主,22,7.21,0,16,63,62,259,2,339,0,,43%,第35轮,3 : 1,0,6,5,10,15
45,2019-02-27 04:00,5,,,2,主,19,7.13,0,17,74,96,350,1,464,0,,54%,第28轮,2 : 0,2,3,2,8,12
58,2019-01-19 23:00,1,,,3,主,17,7.52,0,28,76,70,308,2,408,0,,53%,第23轮,3 : 0,2,6,4,9,15
39,2019-01-03 04:00,9,,,0,主,28,6.34,0,21,72,65,287,1,374,0,,35%,第21轮,0 : 2,1,3,2,11,14
38,2018-09-29 22:00,4,,,0,主,24,6.31,0,14,73,61,314,2,391,0,,41%,第7轮,0 : 2,0,1,1,5,6
38,2019-03-09 23:00,7,,,3,主,22,6.83,0,26,70,67,293,5,391,1,,45%,第30轮,3 : 2,0,7,6,12,19
53,2018-11-10 23:00,8,,,2,主,18,6.99,0,22,69,74,251,1,348,0,,39%,第12轮,2 : 1,1,6,5,12,18
49,2018-12-22 23:00,5,,,0,主,22,6.73,0,36,81,84,422,1,543,0,,53%,第18轮,0 : 0,0,0,4,5,9
53,2019-02-23 23:00,3,,,2,主,13,7.28,0,32,83,79,474,4,589,0,,54%,第27轮,2 : 0,2,12,7,20,29
42,2019-01-30 04:00,4,,,2,主,20,6.74,0,6,63,68,174,1,249,1,,24%,第24轮,2 : 1,0,2,2,4,7
