confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
58,2018-09-23 23:00,6,,,2,主,19,7.21,0,15,83,77,482,2,576,0,,63%,第6轮,2 : 0,0,5,1,8,9
43,2018-12-02 22:05,4,,,4,主,27,7.03,0,22,85,78,402,6,508,1,,59%,第14轮,4 : 2,0,7,9,12,22
56,2018-11-04 01:30,5,,,1,主,20,6.7,0,18,85,51,541,5,615,0,,62%,第11轮,1 : 1,0,4,2,10,12
31,2018-11-12 00:30,9,,,1,主,12,6.46,0,27,87,39,703,0,769,0,,72%,第12轮,1 : 1,0,3,4,6,10
48,2018-08-25 22:00,9,,,3,主,15,6.95,1,21,85,46,507,2,576,0,,61%,第3轮,3 : 1,0,10,4,13,18
48,2018-10-23 03:00,12,,,3,主,20,7.06,0,11,86,45,668,2,726,0,,69%,第9轮,3 : 1,0,6,5,14,19
54,2018-09-29 22:00,7,,,2,主,10,7.01,1,22,82,58,488,3,571,0,,64%,第7轮,2 : 0,1,2,1,7,10
57,2019-04-02 03:00,6,,,2,主,13,7,0,18,86,49,656,4,727,0,,71%,第32轮,2 : 0,0,4,1,6,7
30,2019-01-30 03:45,7,,,2,主,13,6.77,0,11,86,28,567,0,606,1,,71%,第24轮,2 : 1,0,4,2,12,15
58,2019-05-05 23:30,15,,,1,主,11,6.83,0,41,87,34,535,2,612,1,,71%,第37轮,1 : 1,1,8,7,11,20
40,2019-02-28 03:45,5,,,5,主,7,7.21,0,16,89,38,617,2,673,0,,65%,第28轮,5 : 1,1,7,4,11,16
44,2018-12-08 23:00,3,,,1,主,17,6.82,0,16,81,60,468,2,546,0,,62%,第16轮,1 : 0,0,2,5,9,14
26,2019-03-11 00:30,4,,,2,主,17,6.94,0,11,76,65,341,0,417,1,,46%,第30轮,2 : 0,1,3,3,9,14
51,2019-01-01 23:00,13,,,4,主,15,7.35,0,16,79,70,479,6,571,0,,60%,第21轮,4 : 1,0,9,1,15,16
64,2018-08-12 23:00,5,,,0,主,22,6.41,0,12,80,54,358,2,426,0,,42%,第1轮,0 : 2,0,3,1,8,9
42,2019-01-20 01:30,8,,,2,主,35,7.4,0,14,75,55,307,0,376,0,,36%,第23轮,2 : 0,0,5,5,8,13
43,2018-12-22 20:30,8,,,3,主,17,7,0,5,86,66,494,0,565,0,,60%,第18轮,3 : 1,1,6,1,9,11
42,2019-04-21 23:00,17,,,2,主,15,6.59,0,30,89,38,622,1,691,0,,73%,第35轮,2 : 3,0,5,2,10,12
62,2019-02-24 22:05,14,,,2,主,14,7.13,0,20,82,70,519,0,609,0,,62%,第27轮,2 : 0,0,4,2,10,12
