aerialDuelScc,aerialsWon,assists,bigChanceCreated,clearances,dribblesWon,errorsSum,finalThirdPass,finalThirdPassAcc,fouled,fouls,goals,goalsLost,interceptions,keyPasses,offsideWon,offsides,passSucc,passes,possession,rate,redCards,shots,shotsOT,tacklesSuccful,teamId,teamName,yelCards
0.681818,30,3,4,29,17,0,151,105,12,10,3,2,15,12,0,1,0.805825,515,0.526212,7.292857,0,14,5,19,3,热刺,0
0.492308,32,1,1,31,11,2,103,63,13,9,2,0,12,4,1,1,0.75,464,0.565017,7.123571,0,7,2,15,19,水晶宫,0
0.543478,25,1,2,30,11,1,119,71,0,16,1,0,15,5,3,0,0.700565,354,0.342857,7.101429,0,5,4,26,16,西汉姆联,3
0.480769,25,1,2,14,18,0,125,87,16,12,1,1,11,8,3,1,0.810445,517,0.594624,7.051818,0,13,3,17,269,狼队,1
0.423077,11,2,0,35,13,0,86,64,10,8,2,2,10,11,0,1,0.804945,364,0.398551,6.974167,0,15,8,12,209,诺维奇,2
0.515152,17,2,0,40,15,0,56,34,6,4,2,2,17,4,3,3,0.647059,238,0.235741,6.97,0,6,3,18,4,纽卡斯尔,1
0.547619,23,2,4,9,13,0,183,131,9,7,2,1,10,12,3,1,0.834356,652,0.693089,6.966154,0,16,6,19,10,莱斯特城,0
0.452381,19,1,2,32,13,0,85,48,7,9,1,2,21,11,1,3,0.672727,275,0.306911,6.850769,0,11,3,20,14,埃弗顿,1
0.519231,27,1,3,39,7,0,144,96,12,18,1,1,16,7,1,3,0.747899,357,0.405376,6.814286,0,9,4,19,507,谢菲尔德联,5
0.363636,12,1,2,19,20,2,160,102,10,6,2,1,12,6,4,2,0.786496,548,0.628415,6.787143,0,11,6,17,15,南安普顿,1
0.318182,7,2,2,17,9,1,97,56,16,8,2,2,9,7,1,4,0.717105,304,0.376417,6.780769,0,9,3,22,7,阿斯顿维拉,1
0.576923,15,0,2,14,10,0,179,132,7,10,2,2,9,8,1,0,0.848429,541,0.601449,6.777857,0,16,7,16,12,阿森纳,1
0.428571,9,2,2,16,8,1,117,76,9,3,2,1,11,8,6,1,0.804979,482,0.447907,6.750714,1,15,7,11,13,利物浦,0
0.456522,21,0,5,9,27,0,206,162,15,0,0,1,19,11,0,3,0.877794,671,0.657143,6.749286,0,19,6,7,1,切尔西,0
0.484848,16,1,4,10,10,0,296,237,3,6,2,2,9,16,3,3,0.884211,760,0.764259,6.692143,0,24,9,12,11,曼城,2
0.318182,14,0,0,19,14,1,111,72,9,12,2,3,15,14,1,0,0.786813,455,0.473788,6.613077,0,20,6,8,208,伯恩茅斯,2
0.571429,12,0,2,20,11,1,150,113,2,10,1,2,14,10,1,6,0.839527,592,0.552093,6.556429,0,12,5,11,263,布莱顿,0
0.636364,21,0,1,32,7,0,88,49,6,10,1,2,13,4,2,4,0.647619,315,0.371585,6.523571,0,6,3,18,207,沃特福德,0
0.681818,15,0,3,15,7,0,183,151,7,16,2,2,8,11,4,1,0.862669,517,0.623583,6.431429,0,16,6,7,2,曼联,4
0.507692,33,0,4,16,9,3,110,52,8,13,0,2,16,10,1,1,0.659942,347,0.434983,6.352143,0,15,4,20,20,伯恩利,2
