accCrosses,accLB,accThB,aerialsWon,age,assists,bigChanceCreated,blockShots,clearances,crosses,disp,dribbles,errorsSum,fatalError,finalThirdPass,finalThirdPassAcc,fouled,fouls,goals,interceptions,keyPasses,longBall,matchId,mins,offsideWon,offsides,passSucc,passes,penaltyScored,playerId,playerMainPosition,playerName,rate,redCards,seriousError,shots,shotsOT,teamId,teamName,thBall,totalTackles,unsTouches,yelCards
0,0,0,2,24,0,0,0,0,0,1,1,0,0,18,14,2,3,3,1,0,0,58642,90,0,2,78.79,33,0,348,左边锋,斯特林,9.77,0,0,4,4,11,曼城,3,1,1,1
0,1,2,0,28,2,2,0,0,0,4,2,0,0,15,12,1,1,0,2,4,3,58642,90,0,1,83.33,36,0,263,右边锋,马赫雷斯,9.77,0,0,3,1,11,曼城,2,4,1,0
0,0,0,5,29,0,0,0,0,0,0,4,0,0,8,1,1,1,2,0,0,0,58643,84,0,2,55.0,20,0,516,中锋,阿什利·巴恩斯,9.49,0,0,4,3,20,伯恩利,0,1,3,0
0,2,0,1,26,0,0,0,0,3,3,0,0,0,13,9,0,3,2,0,2,2,58648,90,0,1,80.0,20,0,86,中锋,哈里·凯恩,8.65,0,0,8,2,3,热刺,0,1,0,0
0,1,0,1,27,1,1,0,0,0,0,4,0,0,16,10,1,0,0,0,1,1,58641,86,1,0,76.67,30,0,1889,中锋,菲尔米诺,8.6,0,0,4,1,13,利物浦,0,1,2,0
3,1,0,0,28,0,0,0,1,3,0,2,0,0,8,3,1,1,1,2,2,4,58643,90,0,0,42.86,14,0,10199,右边锋,古德蒙松,8.56,0,0,2,1,20,伯恩利,0,1,2,0
0,1,0,0,28,1,2,0,0,2,1,1,0,0,23,16,0,1,0,2,3,3,58642,79,0,0,79.17,48,0,1858,前腰,德布劳内,8.53,0,0,1,1,11,曼城,1,4,1,0
0,3,0,5,28,0,0,0,3,0,0,0,0,0,7,5,0,0,1,5,0,5,58641,90,3,0,87.72,57,0,6306,中后卫,范迪克,8.41,0,0,1,1,13,利物浦,0,2,0,0
0,1,0,0,22,1,1,0,3,0,2,4,0,0,11,8,2,1,0,3,1,2,58649,90,1,0,88.89,54,0,20652,右中场,奈尔斯,8.4,0,0,0,0,12,阿森纳,0,4,2,0
0,0,0,0,21,0,0,0,1,1,3,0,0,0,14,7,3,1,2,0,0,2,58650,86,0,1,61.9,21,1,6274,中锋,拉什福德,8.34,0,0,4,2,2,曼联,0,3,3,0
1,1,0,1,23,0,0,0,0,2,3,4,0,0,15,13,1,3,1,0,1,1,58650,90,0,1,75.0,28,0,2991,左边锋,马夏尔,8.34,0,0,4,2,2,曼联,0,0,3,1
