confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
60,2018-09-18 03:00,4,,,2,客,14,6.66,0,18,76,72,374,0,464,1,,49%,第5轮,2 : 2,0,4,2,9,12
36,2018-09-29 22:00,1,,,0,客,15,6.22,0,8,65,60,153,0,221,0,,20%,第7轮,2 : 0,0,1,2,2,4
60,2018-08-11 22:00,6,,,0,客,16,6.42,0,15,77,79,313,0,407,0,,47%,第1轮,2 : 0,0,0,2,4,6
41,2018-11-03 23:00,6,,,1,客,16,6.21,0,11,68,71,251,0,333,0,,38%,第11轮,3 : 1,0,3,2,3,5
57,2018-11-10 20:30,10,,,1,客,14,6.65,0,5,64,82,235,0,322,0,,39%,第12轮,2 : 1,0,3,2,5,7
47,2018-10-20 22:00,8,,,1,客,19,7.01,0,10,61,74,177,0,261,0,,32%,第9轮,0 : 1,0,2,2,6,8
66,2018-12-01 23:00,6,,,2,客,15,6.88,0,17,84,70,503,3,593,0,,68%,第14轮,1 : 2,0,6,6,8,14
52,2019-04-24 02:45,5,,,0,客,18,6.56,0,9,52,68,127,0,204,0,,22%,第33轮,1 : 0,1,1,3,2,6
41,2019-02-27 03:45,7,,,1,客,6,6.34,0,31,81,74,375,0,480,0,,51%,第28轮,2 : 1,0,3,7,8,15
56,2019-03-09 20:30,3,,,2,客,26,6.8,0,4,72,71,289,0,364,0,,37%,第30轮,1 : 2,1,3,0,3,4
54,2019-04-20 22:00,5,,,0,客,24,6.92,0,8,73,75,223,1,307,0,,32%,第35轮,0 : 0,0,0,1,4,5
50,2018-12-08 23:00,10,,,0,客,11,6.58,0,21,75,90,432,0,543,0,,63%,第16轮,1 : 0,0,1,6,8,14
54,2019-01-30 03:45,10,,,2,客,14,6.76,0,22,75,68,317,0,407,0,,38%,第24轮,4 : 2,1,6,5,9,15
51,2018-08-26 00:30,7,,,0,客,21,6.7,0,11,73,64,267,0,342,0,,30%,第3轮,1 : 0,0,2,1,5,6
49,2019-01-03 03:45,7,,,2,客,17,6.71,0,18,76,68,347,1,434,0,,46%,第21轮,2 : 2,0,6,5,8,13
51,2019-01-19 23:00,4,,,1,客,17,6.53,0,23,79,71,324,1,419,0,,44%,第23轮,2 : 1,0,3,3,4,7
35,2018-12-22 23:00,9,,,0,客,19,6.3,0,19,74,77,322,1,419,0,,43%,第18轮,2 : 0,0,5,3,7,10
42,2019-05-05 23:30,7,,,1,客,22,6.78,0,16,73,52,191,0,259,1,,29%,第37轮,1 : 1,0,5,1,9,11
47,2019-04-04 02:45,8,,,0,客,17,6.17,0,9,80,68,284,1,362,0,,32%,第27轮,3 : 0,0,1,1,2,3
