confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
55,2018-08-26 23:00,7,,,2,客,21,6.52,0,27,74,84,230,0,341,0,,36%,第3轮,4 : 2,0,2,5,7,12
67,2018-11-03 23:00,5,,,2,客,19,6.48,0,9,63,85,225,5,324,0,,37%,第11轮,4 : 2,0,3,2,4,6
37,2018-09-30 23:00,3,,,1,客,12,6.99,0,8,55,86,203,0,297,0,,46%,第7轮,1 : 2,0,2,0,2,2
53,2018-10-20 22:00,3,,,0,客,12,5.92,0,9,75,61,244,0,314,0,,31%,第9轮,5 : 0,0,0,2,3,5
52,2018-08-12 20:30,4,,,0,客,10,6.82,0,20,76,72,338,2,432,0,,52%,第1轮,0 : 0,1,6,7,8,16
55,2018-12-01 23:00,3,,,0,客,18,6.43,0,23,75,79,281,1,384,0,,41%,第14轮,2 : 0,0,0,3,1,4
57,2018-12-15 23:00,2,,,0,客,23,6.53,0,12,61,82,182,1,277,0,,30%,第17轮,1 : 0,1,0,1,2,4
57,2019-03-10 20:00,10,,,2,客,27,6.46,0,14,62,72,225,0,311,0,,31%,第30轮,4 : 2,0,2,1,2,3
41,2019-02-10 01:30,2,,,3,客,11,7.39,0,8,59,77,175,2,262,1,,32%,第26轮,1 : 3,0,5,2,6,9
62,2018-09-16 20:30,4,,,0,客,17,6.6,0,12,75,84,317,0,413,0,,41%,第5轮,1 : 0,0,2,3,4,7
57,2018-12-22 20:30,7,,,1,客,17,6.35,0,13,76,69,293,2,377,0,,40%,第18轮,3 : 1,1,2,1,5,7
46,2018-11-10 23:00,4,,,0,客,9,6.73,0,11,63,68,231,1,311,0,,37%,第12轮,0 : 0,0,1,3,3,6
42,2019-04-23 03:00,5,,,2,客,15,7.01,0,5,60,87,134,1,227,0,,24%,第35轮,2 : 2,0,3,3,3,6
57,2019-01-30 04:00,3,,,2,客,13,7.02,0,7,61,73,160,0,240,0,,26%,第24轮,2 : 2,0,4,1,5,6
55,2019-02-27 04:00,5,,,0,客,25,6.4,0,18,66,79,295,0,392,0,,46%,第28轮,2 : 0,0,2,7,5,12
51,2019-01-19 23:00,5,,,0,客,12,7.01,0,25,64,83,254,2,364,0,,45%,第23轮,0 : 0,0,3,4,8,12
45,2019-01-03 03:45,10,,,2,客,10,6.93,0,19,78,80,403,4,506,0,,57%,第21轮,1 : 2,2,8,6,8,16
58,2019-05-04 03:00,7,,,0,客,17,6.32,0,12,73,80,292,3,387,0,,40%,第37轮,2 : 0,0,1,3,2,5
44,2019-04-06 22:00,6,,,3,客,12,6.96,0,28,69,91,199,1,319,0,,40%,第33轮,1 : 3,0,3,5,5,10
