confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
53,2018-09-01 22:00,7,,,1,客,30,6.76,0,20,75,66,272,0,358,0,,42%,第4轮,1 : 1,0,6,3,6,9
57,2018-12-05 03:45,4,,,1,客,22,6.69,0,45,82,74,535,0,654,0,,67%,第15轮,2 : 1,1,6,9,12,22
53,2018-08-19 20:30,4,,,0,客,16,5.88,0,12,65,64,162,0,238,0,,23%,第2轮,6 : 1,0,1,2,2,4
51,2018-10-06 22:00,4,,,1,客,9,6.58,0,37,80,74,513,0,624,0,,68%,第8轮,1 : 1,1,2,4,13,18
44,2018-09-22 22:00,5,,,0,客,11,6.28,0,14,73,69,288,1,372,0,,38%,第6轮,3 : 1,0,2,0,6,6
57,2018-10-27 22:00,10,,,0,客,26,6.47,0,13,80,71,429,3,516,0,,52%,第10轮,3 : 0,0,7,2,11,13
60,2018-11-26 00:00,4,,,2,客,28,7.36,0,19,79,87,463,0,569,0,,55%,第13轮,0 : 2,0,6,4,10,14
40,2018-12-29 23:00,5,,,0,客,9,6.5,0,17,79,89,446,0,552,0,,56%,第20轮,1 : 0,0,5,1,7,8
47,2019-02-23 23:00,6,,,0,客,10,6.43,0,6,79,65,423,1,495,0,,46%,第27轮,2 : 0,0,0,1,2,3
43,2019-04-27 03:00,4,,,0,客,23,5.75,0,8,69,61,249,1,319,0,,30%,第36轮,5 : 0,0,1,1,4,5
60,2019-01-12 23:00,8,,,0,客,13,6.99,0,23,70,62,373,0,458,0,,61%,第22轮,0 : 0,1,2,3,9,13
39,2019-04-13 19:30,11,,,0,客,13,6.01,0,17,73,64,240,2,323,0,,30%,第34轮,4 : 0,1,1,2,4,7
50,2019-02-02 23:00,10,,,0,客,13,5.92,0,11,81,65,335,0,411,0,,35%,第25轮,5 : 0,1,2,1,3,5
45,2019-03-02 23:00,2,,,0,客,21,6.48,0,15,77,70,344,1,430,0,,47%,第29轮,1 : 0,0,4,0,6,6
43,2019-03-16 23:00,8,,,3,客,18,6.45,0,18,71,52,278,2,350,0,,36%,第31轮,4 : 3,1,5,7,7,15
41,2018-12-26 23:00,7,,,1,客,27,6.5,0,15,73,62,284,0,361,0,,35%,第19轮,3 : 1,0,2,2,7,9
56,2018-12-08 23:00,4,,,0,客,16,6.47,0,11,67,76,248,0,335,0,,38%,第16轮,1 : 0,0,0,0,6,6
38,2019-05-12 22:00,5,,,1,客,27,6.65,0,14,65,78,312,0,404,0,,46%,第38轮,1 : 1,0,3,3,7,10
32,2019-03-30 23:00,10,,,0,客,14,6.42,0,21,76,73,379,2,475,0,,52%,第32轮,2 : 0,1,5,3,11,15
