confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
31,2018-12-01 23:00,6,,,0,客,14,5.99,0,25,82,44,456,2,527,0,,62%,第14轮,2 : 0,2,0,2,4,8
46,2018-09-29 22:00,8,,,0,客,20,6.41,0,27,69,68,232,3,330,0,,36%,第7轮,2 : 0,1,5,6,7,14
51,2018-10-20 22:00,9,,,2,客,17,7.13,0,4,84,61,491,0,556,0,,55%,第9轮,0 : 2,1,3,1,7,9
38,2018-09-22 19:30,4,,,1,客,11,6.64,0,26,65,84,256,1,367,0,,39%,第6轮,1 : 1,0,6,1,10,11
45,2018-08-19 20:30,4,,,3,客,18,7.01,0,7,68,77,273,1,358,0,,42%,第2轮,1 : 3,0,6,1,8,9
41,2019-03-10 01:30,9,,,1,客,18,6.39,0,5,70,71,231,0,307,0,,29%,第30轮,3 : 1,0,1,2,0,2
52,2018-12-11 04:00,12,,,2,客,25,6.76,1,15,68,66,261,0,342,0,,43%,第16轮,2 : 2,1,3,4,8,14
53,2019-01-31 04:00,4,,,1,客,18,6.55,0,14,67,77,203,1,295,0,,31%,第24轮,2 : 1,0,1,3,6,9
54,2019-01-12 23:00,13,,,1,客,14,6.91,0,16,78,50,287,1,354,0,,45%,第22轮,1 : 2,2,2,7,6,15
62,2019-03-30 23:00,9,,,1,客,13,6.59,0,19,81,50,352,0,421,0,,48%,第32轮,2 : 1,0,8,2,18,20
48,2019-02-02 23:00,4,,,0,客,27,6.88,0,12,70,78,306,0,396,0,,45%,第25轮,0 : 0,0,0,0,5,5
45,2019-04-20 22:00,5,,,2,客,16,6.62,0,10,83,59,403,0,472,0,,54%,第35轮,1 : 2,0,6,1,10,11
43,2019-02-23 03:45,8,,,5,客,14,7.38,0,9,82,50,533,3,595,0,,65%,第27轮,1 : 5,2,7,3,7,12
58,2018-11-03 23:00,3,,,0,客,8,6.43,0,20,79,65,395,2,482,0,,58%,第11轮,1 : 0,1,1,7,8,16
57,2019-01-03 03:45,2,,,3,客,17,6.82,0,6,70,77,305,1,389,0,,43%,第21轮,3 : 3,1,3,1,8,10
45,2018-11-10 23:00,5,,,1,客,11,6.49,0,18,72,62,364,0,444,0,,58%,第12轮,1 : 1,0,6,0,11,11
49,2019-05-05 21:00,11,,,0,客,14,6.29,0,15,75,61,327,0,403,0,,42%,第37轮,3 : 0,0,3,6,10,16
44,2019-02-28 04:00,10,,,0,客,27,6.06,0,9,77,58,343,0,410,0,,38%,第28轮,5 : 0,0,3,2,3,5
49,2018-12-22 23:00,13,,,2,客,25,7.34,0,10,73,63,319,2,394,1,,48%,第18轮,0 : 2,0,5,1,9,11
