confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
61,2018-11-04 03:45,15,,,2,主,22,6.67,0,26,82,95,368,3,492,2,,49%,第11轮,2 : 3,0,7,4,10,16
49,2018-10-20 22:00,5,,,0,主,22,6.32,0,27,77,66,359,0,452,0,,45%,第9轮,0 : 2,1,1,4,5,10
47,2018-08-12 00:30,9,,,2,主,13,6.65,0,25,83,63,480,8,576,0,,57%,第1轮,2 : 2,0,4,1,10,11
58,2018-09-29 22:00,10,,,2,主,19,7.2,0,15,83,52,378,1,446,0,,49%,第7轮,2 : 0,0,6,6,8,14
46,2018-12-06 03:45,7,,,2,主,16,6.77,0,13,74,70,215,3,301,0,,30%,第15轮,2 : 1,0,2,2,4,6
38,2018-09-16 20:30,6,,,1,主,13,6.98,0,24,83,77,488,3,592,0,,59%,第5轮,1 : 0,0,7,4,26,30
39,2018-12-22 04:00,11,,,0,主,26,6.54,0,7,75,78,348,1,434,0,,38%,第18轮,0 : 2,0,5,1,10,11
60,2019-01-30 03:45,10,,,3,主,24,7.48,0,13,80,70,409,3,495,0,,55%,第24轮,3 : 0,1,9,7,12,20
46,2019-02-12 04:00,11,,,1,主,15,6.67,0,30,81,72,555,0,657,0,,59%,第26轮,1 : 1,0,6,6,16,22
41,2019-05-04 22:00,5,,,1,主,19,6.84,0,16,76,46,332,1,395,0,,39%,第37轮,1 : 0,1,6,9,9,19
56,2018-12-15 23:00,3,,,2,主,21,7.03,0,10,72,69,319,4,402,0,,38%,第17轮,2 : 0,2,4,1,7,10
48,2019-04-03 02:45,9,,,2,主,17,6.86,1,12,82,83,432,1,528,0,,50%,第33轮,2 : 1,1,2,3,5,10
46,2019-04-20 22:00,9,,,0,主,12,6.84,0,38,89,50,567,1,656,0,,68%,第35轮,0 : 0,0,5,9,14,23
40,2018-11-26 00:00,9,,,0,主,21,6.35,0,13,75,65,383,1,462,0,,45%,第13轮,0 : 2,0,3,3,9,12
63,2019-01-03 03:45,5,,,0,主,26,6.36,0,13,82,75,456,1,545,0,,52%,第21轮,0 : 2,0,1,3,6,9
48,2019-01-19 20:30,5,,,4,主,20,6.99,0,18,71,72,309,2,401,0,,46%,第23轮,4 : 3,1,7,4,7,12
45,2019-04-25 02:45,6,,,3,主,15,6.91,0,9,74,53,236,0,298,0,,30%,第31轮,3 : 1,0,3,6,5,11
54,2018-08-25 19:30,6,,,1,主,19,6.76,0,14,68,58,207,0,279,0,,29%,第3轮,1 : 1,1,2,3,7,11
67,2019-03-02 23:00,16,,,2,主,20,7.49,0,12,80,65,410,1,488,0,,56%,第29轮,2 : 0,4,6,4,5,13
