confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
44,2018-08-19 00:30,5,,,2,客,14,6.63,0,12,82,65,371,2,450,0,,38%,第2轮,3 : 2,0,6,0,15,15
46,2018-12-06 04:00,9,,,2,客,12,6.47,1,13,82,46,508,1,568,0,,55%,第15轮,2 : 2,1,4,1,7,10
41,2018-10-07 19:00,8,,,5,客,21,7.41,0,7,79,59,453,2,521,0,,51%,第8轮,1 : 5,0,7,0,9,9
50,2018-09-15 22:00,6,,,2,客,15,6.82,0,15,84,60,544,6,625,0,,64%,第5轮,1 : 2,2,2,3,7,12
50,2018-12-16 21:30,5,,,2,客,15,6.52,0,18,86,60,576,3,657,0,,66%,第17轮,3 : 2,1,4,2,10,13
44,2018-11-25 21:30,3,,,2,客,20,6.78,1,21,81,58,524,0,603,0,,59%,第13轮,1 : 2,1,4,1,18,21
44,2019-04-07 21:05,14,,,0,客,21,6.56,0,17,80,44,474,5,540,0,,57%,第33轮,1 : 0,0,2,2,5,7
53,2018-12-30 01:30,7,,,1,客,17,6.02,0,12,84,61,504,0,577,0,,52%,第20轮,5 : 1,0,2,0,8,8
48,2018-09-02 20:30,6,,,3,客,11,6.9,0,19,84,65,577,0,661,0,,72%,第4轮,2 : 3,0,11,6,11,17
48,2018-12-27 01:15,9,,,1,客,7,6.53,0,17,89,46,668,1,732,0,,68%,第19轮,1 : 1,0,4,1,6,7
55,2019-04-25 02:45,10,,,1,客,7,6.1,0,16,89,38,655,2,711,0,,70%,第31轮,3 : 1,0,1,3,8,11
21,2019-02-04 00:30,10,,,1,客,9,6.4,0,7,78,44,393,1,445,0,,41%,第25轮,3 : 1,1,2,1,2,4
50,2019-02-09 23:00,10,,,2,客,18,6.97,0,6,72,70,347,0,423,0,,45%,第26轮,1 : 2,1,4,0,8,9
42,2019-05-12 22:00,4,,,3,客,11,7.13,0,25,86,59,477,2,563,0,,60%,第38轮,1 : 3,0,6,1,16,17
40,2019-03-02 20:30,9,,,1,客,23,6.5,0,13,63,79,256,3,351,1,,40%,第29轮,1 : 1,2,4,1,5,9
50,2019-04-16 03:00,3,,,1,客,12,7.01,0,13,87,56,609,1,679,0,,66%,第34轮,0 : 1,3,5,2,14,19
42,2019-04-28 19:00,7,,,0,客,16,6.26,0,14,64,68,234,0,316,0,,33%,第36轮,3 : 0,1,1,0,5,6
37,2019-01-12 20:30,14,,,0,客,16,6.37,0,8,86,45,521,1,575,0,,59%,第22轮,1 : 0,0,2,0,11,11
57,2018-10-28 21:30,7,,,2,客,25,6.59,0,10,83,45,514,0,569,0,,58%,第10轮,2 : 2,0,2,3,4,7
