confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
56,2018-10-27 22:00,9,,,4,主,12,7.2,0,24,89,38,786,2,850,0,,80%,第10轮,4 : 1,2,7,2,15,19
38,2018-12-03 00:15,9,,,1,主,21,6.83,0,21,80,75,451,2,549,0,,58%,第14轮,1 : 0,1,3,5,10,16
29,2018-09-22 22:00,8,,,3,主,16,7.11,1,13,86,45,710,2,770,0,,61%,第6轮,3 : 0,1,4,5,6,13
49,2018-08-26 00:30,10,,,1,主,21,7.11,0,24,87,47,721,1,793,0,,70%,第3轮,1 : 0,0,8,4,18,22
43,2019-03-10 20:00,7,,,4,主,21,6.97,0,15,81,75,572,5,667,0,,69%,第30轮,4 : 2,0,5,4,19,23
41,2018-08-12 20:30,7,,,4,主,19,7.38,0,21,90,42,635,5,703,0,,65%,第1轮,4 : 0,0,8,7,11,18
26,2018-10-07 23:30,4,,,0,主,17,6.56,0,18,83,70,448,1,537,0,,49%,第8轮,0 : 0,0,2,2,5,7
52,2018-11-11 20:00,9,,,2,主,18,7.14,0,20,87,68,663,3,754,0,,73%,第12轮,2 : 0,0,7,7,14,21
50,2018-12-26 23:00,4,,,4,主,8,7.31,0,26,87,82,639,8,755,1,,75%,第19轮,4 : 0,0,8,5,10,16
47,2018-12-30 01:30,13,,,5,主,17,7.19,0,8,83,55,461,4,528,2,,48%,第20轮,5 : 1,1,10,0,12,15
67,2019-04-14 23:30,8,,,2,主,19,7.15,0,25,86,57,595,1,678,0,,62%,第34轮,2 : 0,1,7,4,10,15
57,2019-04-27 03:00,11,,,5,主,19,7.76,0,14,88,41,688,4,747,0,,70%,第36轮,5 : 0,0,7,2,19,21
44,2019-01-31 04:00,11,,,1,主,15,6.55,0,23,87,57,735,2,817,0,,72%,第24轮,1 : 1,1,3,4,5,10
57,2019-03-31 23:30,4,,,2,主,18,6.7,1,23,80,72,376,4,475,0,,49%,第32轮,2 : 1,1,3,3,10,15
56,2019-02-28 04:00,17,,,5,主,16,7.77,0,21,85,63,568,3,655,0,,62%,第28轮,5 : 0,2,10,4,13,19
53,2019-01-19 23:00,8,,,4,主,19,6.82,0,22,86,50,687,2,761,0,,71%,第23轮,4 : 3,2,9,5,12,19
56,2018-12-17 00:00,13,,,3,主,12,7.03,0,29,81,48,522,2,601,0,,64%,第17轮,3 : 1,0,11,9,27,36
41,2019-05-12 22:00,7,,,2,主,18,7.02,0,18,85,66,547,0,631,0,,59%,第38轮,2 : 0,0,5,3,10,13
58,2019-02-09 23:00,6,,,3,主,23,7.48,0,17,89,46,661,4,728,0,,66%,第26轮,3 : 0,1,9,4,15,20
