confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
46,2018-08-25 19:30,16,,,1,主,9,6.73,0,30,90,36,611,1,678,0,,71%,第3轮,1 : 1,0,6,6,12,18
74,2018-10-07 23:30,7,,,0,主,16,6.78,0,12,83,53,486,1,552,1,,51%,第8轮,0 : 0,0,2,0,5,6
28,2018-12-09 01:30,16,,,0,主,19,6.41,0,23,88,58,584,2,667,0,,61%,第16轮,2 : 0,1,4,8,5,14
48,2018-11-24 23:00,10,,,4,主,13,7.38,0,4,89,55,785,5,849,0,,69%,第13轮,0 : 4,1,6,0,8,9
36,2018-12-05 04:00,8,,,2,主,16,7.02,0,21,88,48,674,4,747,0,,70%,第15轮,1 : 2,1,7,2,12,15
36,2018-08-12 23:00,9,,,2,主,6,6.95,0,15,84,52,508,6,581,0,,58%,第1轮,0 : 2,1,8,3,13,17
33,2019-03-30 20:30,9,,,2,主,16,7.09,0,20,90,51,630,1,702,0,,65%,第32轮,0 : 2,0,7,6,18,24
52,2018-12-30 22:15,14,,,3,主,12,6.98,1,18,89,45,743,1,807,0,,77%,第20轮,1 : 3,1,6,3,10,15
60,2019-04-25 03:00,17,,,2,主,14,7.19,0,8,87,58,653,4,723,0,,63%,第31轮,0 : 2,1,5,0,7,8
37,2018-12-26 23:00,11,,,1,主,18,6.41,0,35,87,67,551,2,655,0,,66%,第19轮,2 : 1,0,4,0,11,11
62,2019-04-28 21:05,11,,,1,主,13,7.07,0,24,86,56,564,1,645,0,,70%,第36轮,0 : 1,2,7,2,21,25
52,2019-01-20 21:30,15,,,3,主,13,7.27,0,12,87,58,683,1,754,0,,68%,第23轮,0 : 3,0,4,3,9,12
43,2019-05-12 22:00,11,,,4,主,15,7.21,0,20,93,29,761,8,818,0,,76%,第38轮,1 : 4,0,9,3,17,20
45,2019-04-14 21:05,16,,,3,主,22,7.17,0,27,90,60,665,5,757,0,,72%,第34轮,1 : 3,2,6,1,17,20
59,2019-03-02 23:00,6,,,1,主,9,6.88,0,28,91,37,773,4,842,0,,82%,第29轮,0 : 1,1,7,10,12,23
48,2018-10-30 04:00,13,,,1,主,12,6.86,0,12,83,65,460,1,538,0,,52%,第10轮,0 : 1,0,6,3,10,13
47,2018-09-22 22:00,6,,,5,主,12,7.66,0,23,91,41,766,1,831,0,,79%,第6轮,0 : 5,0,10,8,13,21
62,2019-02-07 03:45,11,,,2,主,21,7.18,0,10,86,63,492,2,567,0,,61%,第27轮,0 : 2,0,4,3,12,15
58,2019-01-30 04:00,15,,,1,主,22,6.53,0,21,89,42,732,3,798,0,,76%,第24轮,2 : 1,0,4,7,5,12
