confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
61,2018-11-03 20:30,6,,,2,客,17,6.91,0,13,80,68,383,2,466,0,,51%,第11轮,1 : 2,0,8,5,13,18
66,2018-08-19 23:00,8,,,2,客,12,6.31,0,17,85,56,521,0,594,1,,67%,第2轮,3 : 2,0,3,3,5,9
57,2018-11-12 00:30,4,,,1,客,18,6.25,0,11,84,49,334,1,395,1,,35%,第12轮,3 : 1,0,1,3,1,5
48,2018-09-02 23:00,6,,,2,客,6,7.07,0,18,85,69,448,2,537,1,,53%,第4轮,0 : 2,1,9,4,15,21
63,2018-09-29 19:30,7,,,1,客,9,6.32,0,37,86,50,411,1,499,0,,51%,第7轮,3 : 1,0,4,3,6,9
55,2018-09-16 00:30,4,,,2,客,11,6.73,0,21,81,76,447,2,546,0,,57%,第5轮,1 : 2,0,6,2,7,9
54,2018-10-20 19:30,10,,,2,客,21,6.73,0,9,76,61,314,1,385,0,,38%,第9轮,2 : 2,0,4,1,6,7
63,2019-02-09 20:30,14,,,3,客,11,7.26,0,19,78,70,419,1,509,1,,49%,第26轮,0 : 3,1,7,2,11,15
58,2019-01-14 00:30,14,,,1,客,15,7.14,0,10,74,73,293,2,378,0,,39%,第22轮,0 : 1,2,8,1,9,12
52,2019-04-03 02:45,8,,,1,客,14,6.26,0,12,81,59,462,0,533,0,,50%,第33轮,2 : 1,0,4,5,13,18
68,2018-12-23 01:30,10,,,5,客,17,7.35,0,9,87,55,584,2,650,1,,74%,第18轮,1 : 5,0,9,5,11,17
74,2019-03-11 00:30,8,,,0,客,20,6.43,0,13,81,51,415,4,483,0,,54%,第30轮,2 : 0,0,4,2,12,14
54,2019-04-21 20:30,7,,,0,客,12,6.11,0,14,79,53,373,1,441,0,,52%,第35轮,4 : 0,0,1,1,6,7
60,2019-02-28 04:00,8,,,3,客,21,7.02,0,12,81,60,409,0,481,0,,55%,第28轮,1 : 3,0,4,5,8,13
61,2019-01-03 04:00,9,,,2,客,15,7.17,0,5,86,57,634,2,698,0,,65%,第21轮,0 : 2,3,7,5,8,16
74,2018-12-02 01:30,10,,,2,客,24,6.82,0,24,84,46,481,2,553,0,,60%,第14轮,2 : 2,0,5,3,8,11
50,2019-05-05 21:00,10,,,1,客,15,6.74,0,18,85,41,559,4,622,0,,64%,第37轮,1 : 1,2,7,7,14,23
50,2019-02-03 22:05,17,,,1,客,16,7.11,0,10,81,73,465,1,549,0,,55%,第25轮,0 : 1,0,6,1,9,10
44,2018-12-17 00:00,8,,,1,客,27,6.6,0,8,66,69,256,0,333,0,,36%,第17轮,3 : 1,0,2,1,5,6
