FTPS,PS,assisting,be_shoot,clearance_kick,critical_miss,dribble,flying_header,foul,fumble,goals,great_opportunity,intercept,key_pass,mark,name,offside,pass_completed_rate,pass_total,possession,seize_the_opportunity,shoot_on_target,shoot_total,violated
,,,10.5,16.3,4,,,9.8,3,,,16,,,,,,,,,,,
,,,17,25.5,0,,,9.3,10,,,14,,,,,,,,,,,
,,,6,14.8,2,,,12.5,3,,,16,,,,,,,,,,,
,,,15.3,13.8,2,,,10.8,7,,,21.3,,,,,,,,,,,
,,,14.5,21.5,2,,,9.5,6,,,15.8,,,,,,,,,,,
,,,11.5,16,1,,,9.3,7,,,19.5,,,,,,,,,,,
,,,15,19.8,2,,,10.3,8,,,13.5,,,,,,,,,,,
,,,14.3,23.5,2,,,15,2,,,21.3,,,,,,,,,,,
,,,10.5,23.3,3,,,14.3,5,,,16.3,,,,,,,,,,,
,,,7.3,23.8,2,,,13.8,4,,,18.3,,,,,,,,,,,
,,,11.5,15.3,0,,,12.3,8,,,19.3,,,,,,,,,,,
,,,14.5,23,2,,,12.3,6,,,16.5,,,,,,,,,,,
,,,17.8,14.8,1,,,11.5,6,,,14.5,,,,,,,,,,,
,,,19.3,27.3,3,,,11.3,6,,,16.5,,,,,,,,,,,
,,,9.3,23.8,2,,,8,3,,,21,,,,,,,,,,,
,,,13.3,24,2,,,12.8,5,,,16,,,,,,,,,,,
,,,16.3,21.8,3,,,9.5,6,,,15.8,,,,,,,,,,,
,,,13.3,24.5,0,,,8.3,5,,,17.5,,,,,,,,,,,
,,,9.8,14,0,,,9.5,4,,,16.8,,,,,,,,,,,
,,,9.3,14.5,2,,,9.3,9,,,22,,,,,,,,,,,
