FTPS,PS,assisting,be_shoot,clearance_kick,critical_miss,dribble,flying_header,foul,fumble,goals,great_opportunity,intercept,key_pass,mark,name,offside,pass_completed_rate,pass_total,possession,seize_the_opportunity,shoot_on_target,shoot_total,violated
74.4,80.7,9,17.5,41.7,0.8,4.8,16.3,8,12,3,10.5,6.3,14.3,7.05,利物浦,4,80.7,532,55.8,16.3,16,10.5,9.8
72.9,83.6,5,10.3,60,2.5,0.8,10.3,10.5,6,10,8.3,5.3,8.5,6.61,诺维奇,0,83.6,482.8,51.2,25.5,14,17,9.3
78.8,88.8,13,19.3,64.7,3,2,13.5,5.8,14,3,10.3,7.5,16.5,7.27,曼城,2,88.8,619.5,58,14.8,16,6,12.5
69.6,79.3,3,11.8,50,2.5,2.5,16.5,11.5,6,7,11.5,6,9.3,6.77,西汉姆联,2,79.3,409,46,13.8,21.3,15.3,10.8
47.7,61.3,3,12,40,3,2,22,11.5,5,6,10.5,3.8,8.5,6.7,伯恩利,2,61.3,297.5,41.5,21.5,15.8,14.5,9.5
66.2,80.3,2,9.8,20,2.3,1.3,19.5,10.8,4,7,11.3,3,8.3,6.57,布莱顿,1,80.3,459.8,50.9,16,19.5,11.5,9.3
64.1,75.6,1,10.8,42.9,1.5,3,17.8,12.3,5,8,16.3,4,7.8,6.57,伯恩茅斯,2,75.6,365,42.4,19.8,13.5,15,10.3
59.9,73.6,1,9.8,33.3,1.8,0,21,12.5,3,2,11.3,3.5,6.5,6.78,水晶宫,2,73.6,345.3,44.8,23.5,21.3,14.3,15
68.1,77.2,2,9.5,37.5,0.5,2.3,23,7.8,5,5,15.3,2.5,6.5,6.65,谢菲尔德联,3,77.2,407.5,45.6,23.3,16.3,10.5,14.3
67.2,78.1,4,12.3,28.6,1.3,3.8,24.3,12,4,4,8.5,3,9.5,6.75,埃弗顿,2,78.1,448.3,55.8,23.8,18.3,7.3,13.8
63.8,78.3,1,13.8,20,0.5,3.5,20.3,9.5,2,8,10.8,2.8,10.3,6.45,沃特福德,0,78.3,440.8,51.6,15.3,19.3,11.5,12.3
53.4,69.3,3,11.8,12.5,1.3,2,17.5,6.3,4,6,10.5,3,7.5,6.54,南安普顿,2,69.3,363.8,45.7,23,16.5,14.5,12.3
79.6,86.9,4,16,37.5,1,2.5,10.5,10,7,6,5.8,5,11.5,6.74,热刺,1,86.9,559,56.3,14.8,14.5,17.8,11.5
70.6,79.6,4,11.3,50,3.3,1.5,17,14.5,4,6,11.8,4,9.5,6.69,阿斯顿维拉,3,79.6,351,46.4,27.3,16.5,19.3,11.3
65.1,80.8,6,12.8,57.1,2.5,1.5,18,10.3,6,3,11.3,2.8,9.8,6.87,莱斯特城,2,80.8,528.8,54.7,23.8,21,9.3,8
67.1,74.2,2,9.8,60,1.3,0.8,25,8,4,5,10.8,2.8,7.5,6.63,狼队,2,74.2,386.5,45,24,16,13.3,12.8
75.5,85,5,14.5,50,3.8,1,15.3,11.3,6,6,8,5.5,11.5,6.8,阿森纳,3,85,528,56,21.8,15.8,16.3,9.5
65.3,77.2,3,10.5,33.3,3,1.5,16,9.3,3,5,13.5,3.5,8.3,6.67,纽卡斯尔,0,77.2,342.5,40.2,24.5,17.5,13.3,8.3
75.5,83.5,6,15.8,33.3,1,0.3,20.8,15.5,7,4,7.5,4.5,11.8,6.84,曼联,0,83.5,554,57.8,14,16.8,9.8,9.5
75.8,84.2,3,17,33.3,1.3,1.3,17,12,6,9,11.8,6.3,13.8,6.71,切尔西,2,84.2,557.8,54.1,14.5,22,9.3,9.3
