date,goals,guoren,intercept,mark,passes_center,passes_completed,passes_long,passes_number,passes_short,passes_through,possession,score,shot,shot_1,shot_2,shot_3,shot_4,shot_5,shot_on_target,turn,vs_win_rate
2018-08-25 19:30,,16,9,6.73,,90,,,,,71%,1 : 1,18,12,6,0,0,0,6,第3轮,46
2018-09-02 00:30,,7,18,6.57,,63,,,,,22%,2 : 1,3,3,0,0,0,0,2,第4轮,56
2018-09-22 22:00,,6,12,7.66,,91,,,,,79%,0 : 5,21,13,8,0,0,0,10,第6轮,47
2018-10-07 23:30,,7,16,6.78,,83,,,,,51%,0 : 0,6,5,0,0,1,0,2,第8轮,74
2018-10-20 22:00,,3,12,5.92,,75,,,,,31%,5 : 0,5,3,2,0,0,0,0,第9轮,53
2018-09-29 22:00,,1,15,6.22,,65,,,,,20%,2 : 0,4,2,2,0,0,0,1,第7轮,36
2018-08-12 23:00,,9,6,6.95,,84,,,,,58%,0 : 2,17,13,3,1,0,0,8,第1轮,36
2018-12-05 04:00,,8,16,7.02,,88,,,,,70%,1 : 2,15,12,2,1,0,0,7,第15轮,36
2018-12-09 01:30,,16,19,6.41,,88,,,,,61%,2 : 0,14,5,8,1,0,0,4,第16轮,28
2018-12-15 20:30,,12,11,6.35,,78,,,,,33%,3 : 1,9,7,1,1,0,0,2,第17轮,38
2018-08-19 20:30,,4,16,5.88,,65,,,,,23%,6 : 1,4,2,2,0,0,0,1,第2轮,53
2018-12-26 23:00,,11,18,6.41,,87,,,,,66%,2 : 1,11,11,0,0,0,0,4,第19轮,37
2018-09-15 22:00,,8,13,6.22,,80,,,,,35%,3 : 0,9,8,1,0,0,0,3,第5轮,44
2018-11-04 23:00,,6,19,5.97,,79,,,,,33%,6 : 1,13,9,3,0,1,0,6,第11轮,41
2018-11-12 00:30,,4,18,6.25,,84,,,,,35%,3 : 1,5,1,3,0,1,0,1,第12轮,57
2018-12-01 23:00,,8,6,6.41,,73,,,,,27%,3 : 1,3,2,1,0,0,0,1,第14轮,67
2018-11-24 23:00,,10,13,7.38,,89,,,,,69%,0 : 4,9,8,0,1,0,0,6,第13轮,48
2018-10-30 04:00,,13,12,6.86,,83,,,,,52%,0 : 1,13,10,3,0,0,0,6,第10轮,48
2019-01-04 04:00,,11,18,6.53,,79,,,,,50%,2 : 1,7,5,2,0,0,0,5,第21轮,32
2018-12-22 23:00,,6,23,6.96,,56,,,,,22%,2 : 3,5,3,1,0,1,0,3,第18轮,46
2019-01-20 21:30,,15,13,7.27,,87,,,,,68%,0 : 3,12,9,3,0,0,0,4,第23轮,52
2019-01-30 04:00,,15,22,6.53,,89,,,,,76%,2 : 1,12,5,7,0,0,0,4,第24轮,58
2019-01-15 04:00,,9,18,6.14,,67,,,,,24%,3 : 0,2,1,0,1,0,0,0,第22轮,43
2018-12-30 22:15,,14,12,6.98,,89,,,,,77%,1 : 3,15,10,3,1,0,1,6,第20轮,52
2019-02-04 00:30,,10,9,6.4,,78,,,,,41%,3 : 1,4,2,1,1,0,0,2,第25轮,21
2019-02-07 03:45,,11,21,7.18,,86,,,,,61%,0 : 2,15,12,3,0,0,0,4,第27轮,62
2019-02-28 04:00,,8,14,6.58,,69,,,,,24%,1 : 0,2,2,0,0,0,0,1,第28轮,56
2019-02-11 00:00,,15,22,5.81,,88,,,,,44%,6 : 0,12,11,1,0,0,0,4,第26轮,23
2019-03-10 01:30,,9,18,6.39,,70,,,,,29%,3 : 1,2,0,2,0,0,0,1,第30轮,41
2019-04-04 02:45,,10,14,6.34,,66,,,,,21%,2 : 0,4,1,3,0,0,0,1,第33轮,52
2019-03-02 23:00,,6,9,6.88,,91,,,,,82%,0 : 1,23,12,10,1,0,0,7,第29轮,59
2019-04-20 19:30,,10,26,6.45,,75,,,,,39%,1 : 0,10,7,2,1,0,0,4,第35轮,47
2019-04-14 21:05,,16,22,7.17,,90,,,,,72%,1 : 3,20,17,1,2,0,0,6,第34轮,45
2019-03-30 20:30,,9,16,7.09,,90,,,,,65%,0 : 2,24,18,6,0,0,0,7,第32轮,33
2019-04-28 21:05,,11,13,7.07,,86,,,,,70%,0 : 1,25,21,2,2,0,0,7,第36轮,62
2019-04-25 03:00,,17,14,7.19,,87,,,,,63%,0 : 2,8,7,0,1,0,0,5,第31轮,60
2019-05-07 03:00,,11,22,6.65,,80,,,,,39%,1 : 0,7,7,0,0,0,0,2,第37轮,66
2019-05-12 22:00,,11,15,7.21,,93,,,,,76%,1 : 4,20,17,3,0,0,0,9,第38轮,43
