aerialWon,age,apps,appsSub,assists,bigChanceCreated,bigChanceFaced,bigChanceSucc,blocks,clears,country,countryZh,crossSucc,crosses,disp,dribbledPast,dribbles,errorsSum,finalThirdPass,finalThirdPassSucc,fouled,fouls,goalProp,goals,interceptions,keyPasses,longBall,longBallSucc,mans,mins,offsideWon,offsides,passSucc,passes,playerCountry,playerId,playerMainPosition,playerName,rate,redCards,shots,shotsOT,shotsOTProp,tackles,teamId,teamName,thBall,thBallSucc,unsTouches,yelCards
1.4,27,4,1,3,5,1,0.0,0.0,0.4,Brazil,巴西,0.0,0.0,1.0,0.999998,2.4,0,15.4,0.675325,0.6,0.8,0.105263,2,0.2,1.4,0.6,0.0,2,400,0.2,0.2,74.2162,31.8,Brazil,1889,中锋,菲尔米诺,8.014,0,3.8,1.2,0.315789,1.0,13,利物浦,0.0,0.0,2.6,0
1.0,24,5,0,0,3,7,0.714286,0.0,0.4,England,英格兰,0.0,0.4,1.4,0.6,1.4,0,19.6,0.72449,0.8,1.4,0.277778,5,0.2,1.6,0.2,0.0,1,450,0.0,1.2,79.6297,32.4,England,348,左边锋,斯特林,7.974,0,3.6,1.6,0.444444,1.6,11,曼城,0.2,0.0,1.6,2
0.0,31,4,1,1,1,7,0.714286,0.0,0.2,Argentina,阿根廷,0.0,0.0,0.8,0.4,0.4,0,10.2,0.784314,0.4,0.2,0.368421,7,0.2,1.4,0.0,0.0,1,357,0.0,0.0,82.9267,16.4,Argentina,294,中锋,阿圭罗,7.886,0,3.8,1.6,0.421053,0.6,11,曼城,0.0,0.0,1.2,0
0.6,20,5,0,0,1,2,0.5,0.0,1.0,England,英格兰,0.0,1.8,2.0,0.8,2.2,0,15.0,0.773333,0.6,1.0,0.1875,3,0.8,2.2,1.2,0.0,1,451,0.0,0.0,82.9105,31.6,England,24823,前腰,梅森·芒特,7.818,0,3.2,1.6,0.5,2.2,1,切尔西,0.0,0.0,2.0,0
0.666667,27,3,0,0,0,0,0.0,0.0,1.33333,"Korea, South",韩国,0.0,0.333333,2.33333,1.33333,1.66667,0,21.3333,0.875,1.0,1.0,0.153846,2,0.333333,1.66667,0.0,0.0,1,259,0.0,0.333333,86.4892,37.0,"Korea, South",1624,左边锋,孙兴慜,7.796667,0,4.33333,2.33333,0.538462,0.666667,3,热刺,0.0,0.0,3.33333,0
0.0,28,4,1,5,6,1,1.0,0.2,0.0,Belgium,比利时,0.0,2.2,0.8,1.0,0.6,1,22.8,0.77193,0.6,0.799998,0.0833333,1,0.8,3.8,3.2,0.0,1,361,0.0,0.0,82.6285,42.6,Belgium,1858,前腰,德布劳内,7.792,0,2.4,0.6,0.25,1.6,11,曼城,0.2,0.0,1.4,0
0.4,27,5,0,2,2,7,0.571429,0.0,0.0,Egypt,埃及,0.0,1.0,2.0,0.6,1.8,0,23.2,0.698276,0.4,0.8,0.25,4,0.0,2.2,0.2,0.0,1,439,0.0,0.6,74.8428,31.8,Egypt,25,右边锋,萨拉赫,7.78,0,3.2,1.4,0.4375,0.6,13,利物浦,0.0,0.0,2.6,0
0.0,29,5,0,2,2,4,0.75,0.0,0.4,Finland,芬兰,0.0,0.0,0.8,0.8,0.6,0,3.4,0.823529,0.4,0.6,0.352941,6,0.2,0.999998,0.0,0.0,1,443,0.0,0.8,77.7781,10.8,Finland,12419,中锋,泰穆·普基,7.742,0,3.4,2.4,0.705882,0.6,209,诺维奇,0.0,0.0,1.4,0
0.8,27,4,1,1,2,4,0.5,0.0,0.4,Senegal,塞内加尔,0.0,0.0,2.6,0.6,1.0,1,18.4,0.76087,1.4,0.8,0.363636,4,1.0,2.4,0.8,0.0,2,358,0.0,0.0,80.0003,29.0,Senegal,6160,左边锋,萨迪奥·马内,7.708,0,2.2,1.2,0.545455,1.8,13,利物浦,0.2,0.0,2.4,0
2.6,23,4,1,0,1,0,0.0,0.0,1.2,Spain,西班牙,0.0,0.0,1.6,1.0,1.6,0,16.8,0.833333,0.8,1.4,0.25,1,0.8,1.2,4.8,0.0,1,380,0.0,0.0,92.763,60.8,Spain,10645,后腰,罗德里,7.7,0,0.8,0.6,0.75,3.6,11,曼城,0.2,0.0,1.2,0
2.6,21,4,1,0,1,5,0.8,0.2,1.2,England,英格兰,0.0,0.0,0.8,0.6,0.2,0,4.4,0.727273,0.4,1.2,0.466667,7,0.0,1.2,0.2,0.0,2,331,0.0,0.6,75.758,13.2,England,11214,中锋,亚伯拉罕,7.7,0,3.0,1.6,0.533333,0.2,1,切尔西,0.0,0.0,2.0,2
6.25,25,4,0,0,0,4,0.75,0.0,0.25,France,法国,0.0,0.0,1.5,1.75,0.75,0,14.25,0.614036,1.5,1.5,0.272727,3,0.75,0.75,0.75,0.0,1,360,0.0,1.25,74.6386,34.5,France,7773,中锋,阿莱,7.655,0,2.75,1.5,0.545455,2.5,16,西汉姆联,0.0,0.0,2.75,0
2.0,21,2,0,0,0,0,0.0,1.0,1.5,England,英格兰,0.0,0.0,0.0,0.5,0.5,0,2.5,0.8,0.5,0.0,1.0,1,3.5,0.5,3.5,0.0,0,180,0.5,0.0,90.9634,83.0,England,19804,中后卫,费卡约·托莫里,7.61,0,0.5,0.5,1.0,3.0,1,切尔西,0.5,0.0,0.5,0
5.5,28,4,0,0,0,0,0.0,0.75,4.25,Cameroon,喀麦隆,0.0,0.0,0.25,0.5,0.0,0,12.75,0.627451,1.25,0.75,0.333333,1,2.0,0.25,2.5,0.0,0,360,2.0,0.0,80.2985,67.25,Cameroon,1586,中后卫,马蒂普,7.59,0,0.75,0.25,0.333333,1.5,13,利物浦,0.0,0.0,0.5,0
0.666667,23,3,0,1,0,1,1.0,0.0,0.0,France,法国,0.0,0.333333,3.33333,0.333333,3.0,0,13.3333,0.825,2.0,1.66667,0.25,2,0.0,0.666667,0.333333,0.0,1,270,0.0,0.666667,82.353,22.6667,France,2991,左边锋,马夏尔,7.553333,0,2.66667,1.0,0.375,0.333333,2,曼联,0.0,0.0,3.33333,1
0.0,21,1,2,0,1,1,1.0,0.0,1.33333,Mali,马里,0.0,0.0,0.333333,0.333333,2.66667,0,3.66667,0.909091,1.66667,1.0,0.5,2,0.333333,0.333333,0.0,0.0,1,124,0.0,0.0,89.1906,12.3333,Mali,20596,左边锋,穆萨·杰内波,7.553333,0,1.33333,1.0,0.75,2.0,15,南安普顿,0.0,0.0,2.66667,2
1.75,25,4,0,0,1,2,0.0,0.0,1.25,Italy,意大利,0.0,1.25,0.5,0.0,2.25,0,16.5,0.863635,1.75,0.5,0.0,0,2.5,1.5,2.25,0.0,1,360,0.25,0.0,83.5875,65.5,Italy,5710,左后卫,埃莫森,7.5475,0,1.5,0.999997,0.666665,3.5,1,切尔西,0.0,0.0,1.0,0
1.8,22,5,0,1,2,2,0.5,0.0,1.2,Brazil,巴西,0.0,0.4,3.0,1.0,1.2,0,12.4,0.564516,2.4,1.0,0.142857,2,1.0,1.0,1.4,0.0,1,402,0.0,0.2,66.393,24.4,Brazil,8200,左边锋,理查尔里森,7.54,0,2.8,0.6,0.214286,3.8,14,埃弗顿,0.2,0.0,1.8,1
0.4,22,5,0,4,2,0,0.0,0.6,0.4,Argentina,阿根廷,0.0,1.4,4.2,3.4,2.6,0,17.4,0.781609,0.999998,1.0,0.0,0,0.4,2.6,1.8,0.0,0,443,0.0,0.2,81.5786,45.6,Argentina,6624,右边锋,布恩迪亚,7.436,0,0.999998,0.6,0.600001,1.8,209,诺维奇,0.4,0.0,2.4,1
