accCrosses,accLB,accThB,aerialsWon,age,assists,bigChanceCreated,blockShots,clearances,crosses,disp,dribbles,errorsSum,fatalError,finalThirdPass,finalThirdPassAcc,fouled,fouls,goals,interceptions,keyPasses,longBall,matchId,mins,offsideWon,offsides,passSucc,passes,penaltyScored,playerId,playerMainPosition,playerName,rate,redCards,seriousError,shots,shotsOT,teamId,teamName,thBall,totalTackles,unsTouches,yelCards
0,0,0,0,27,0,0,0,0,0,1,1,0,0,15,12,0,1,2,1,1,1,60349,90,0,0,80.65,31,0,1624,左边锋,孙兴慜,9.38,0,0,5,3,3,热刺,0,2,1,0
0,0,0,7,21,0,0,1,3,0,1,1,0,0,4,3,1,3,3,0,0,0,60347,77,0,1,68.75,16,0,11214,中锋,亚伯拉罕,9.38,0,0,4,3,1,切尔西,0,0,4,1
0,3,0,0,25,1,1,0,0,4,1,7,0,0,41,34,0,2,0,2,8,5,60345,90,0,0,85.94,64,0,798,右边锋,德乌洛费乌,9.13,0,0,7,4,207,沃特福德,0,2,2,0
0,6,0,4,23,0,0,0,0,0,2,5,0,0,35,29,3,2,1,0,2,8,60352,90,0,0,88.0,75,0,10645,后腰,罗德里,8.92,0,0,2,2,11,曼城,0,5,1,0
2,2,0,0,22,2,1,1,1,5,3,5,0,0,8,7,1,2,0,0,3,2,60352,83,0,1,81.25,32,0,6624,右边锋,布恩迪亚,8.91,0,0,1,0,209,诺维奇,0,4,1,0
3,1,0,0,20,0,1,0,1,7,1,5,0,0,9,5,0,0,1,1,3,1,60347,90,0,0,78.26,23,0,24823,前腰,梅森·芒特,8.9,0,0,2,1,1,切尔西,0,2,3,0
0,0,0,0,21,0,1,0,2,1,1,6,0,0,5,4,2,1,1,1,1,0,60343,74,0,0,86.67,15,0,20596,左边锋,穆萨·杰内波,8.7,0,0,2,2,15,南安普顿,0,2,5,0
0,4,0,3,21,0,0,1,3,0,0,1,0,0,2,1,0,0,1,7,0,8,60347,90,1,0,85.29,68,0,19804,中后卫,费卡约·托莫里,8.65,0,0,1,1,1,切尔西,0,3,1,0
0,1,0,1,27,0,0,0,0,3,4,1,0,0,27,20,1,2,2,1,2,2,60346,90,0,0,79.07,43,0,6160,左边锋,萨迪奥·马内,8.51,0,0,4,2,13,利物浦,0,0,3,0
0,2,0,3,27,0,0,1,7,0,0,0,0,0,4,3,1,0,1,4,0,6,60352,90,0,0,87.18,39,0,22335,中场,麦克莱恩,8.47,0,0,1,1,209,诺维奇,0,2,0,1
3,1,0,0,27,0,1,0,0,5,2,3,0,0,33,24,0,1,1,0,2,3,60346,90,0,0,79.17,48,0,25,右边锋,萨拉赫,8.25,0,0,3,1,13,利物浦,0,2,5,0
