confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
39,2018-11-03 20:30,4,,,1,主,20,6.64,0,23,77,53,361,1,438,0,,49%,第11轮,1 : 2,0,7,5,11,16
51,2018-08-11 22:00,11,,,2,主,11,7.09,0,11,79,57,446,2,516,1,,63%,第1轮,2 : 0,0,4,3,8,12
43,2018-12-05 03:45,5,,,2,主,14,6.93,0,11,72,61,250,0,322,0,,33%,第15轮,2 : 1,1,2,3,2,6
48,2018-10-20 22:00,7,,,0,主,9,6.68,0,22,76,70,398,0,490,0,,57%,第9轮,0 : 0,0,2,2,5,7
41,2018-09-15 22:00,5,,,4,主,12,6.92,0,9,71,59,307,2,377,1,,47%,第5轮,4 : 2,1,5,0,7,9
45,2018-08-25 22:00,6,,,2,主,17,6.41,0,23,79,50,338,1,412,1,,50%,第3轮,2 : 2,0,5,7,9,17
41,2019-03-02 23:00,4,,,0,主,14,6.46,0,2,57,62,121,0,185,0,,18%,第29轮,0 : 1,0,0,0,0,0
49,2019-04-20 22:00,7,,,0,主,21,6.6,0,11,83,36,412,3,462,0,,49%,第35轮,0 : 1,1,5,4,10,15
47,2019-01-19 23:00,8,,,2,主,24,7.12,0,19,76,45,319,4,387,0,,38%,第23轮,2 : 0,2,4,2,6,10
57,2019-01-31 03:45,4,,,4,主,10,7.52,0,8,76,57,289,2,356,0,,32%,第24轮,4 : 0,3,7,2,7,12
47,2019-05-04 19:30,5,,,1,主,15,7.25,0,35,83,43,406,0,484,0,,54%,第37轮,1 : 0,1,6,8,11,20
56,2018-11-25 21:30,7,,,1,主,14,6.59,0,23,75,60,342,1,426,0,,41%,第13轮,1 : 2,1,5,1,9,11
56,2019-02-23 23:00,11,,,1,主,21,6.8,0,22,73,51,323,1,397,2,,45%,第27轮,1 : 1,0,3,4,4,10
45,2018-12-08 20:30,6,,,0,主,14,5.89,0,17,77,51,377,1,446,0,,41%,第16轮,0 : 4,0,2,4,4,8
65,2018-12-22 23:00,10,,,2,主,11,7.11,0,13,81,46,501,1,561,0,,57%,第18轮,2 : 0,0,3,5,9,14
57,2019-03-16 23:00,9,,,2,主,11,6.73,0,19,73,56,356,2,433,1,,49%,第31轮,2 : 2,0,3,5,4,10
43,2019-01-03 03:45,10,,,3,主,15,6.87,0,15,76,65,432,2,514,0,,57%,第21轮,3 : 3,0,12,7,18,25
56,2019-04-06 22:00,8,,,1,主,6,6.14,1,19,78,57,396,0,472,0,,60%,第33轮,1 : 3,0,2,4,6,11
61,2018-10-02 03:00,3,,,2,主,12,6.72,0,13,79,53,376,2,444,1,,44%,第7轮,2 : 1,2,5,5,3,11
