confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
50,2018-12-08 23:00,2,,,1,主,12,6.85,0,15,65,74,237,0,326,0,,37%,第16轮,1 : 0,0,4,7,7,14
49,2018-10-06 22:00,5,,,1,主,17,6.7,0,13,61,71,209,0,293,0,,32%,第8轮,1 : 1,0,3,1,5,6
52,2018-09-02 23:00,4,,,0,主,12,6.49,0,23,80,61,383,2,469,0,,47%,第4轮,0 : 2,0,2,4,5,9
48,2018-11-27 04:30,15,,,1,主,15,6.76,0,27,83,87,501,0,615,0,,57%,第13轮,1 : 2,0,4,3,11,14
55,2018-08-19 20:30,4,,,1,主,15,6.36,0,33,75,95,371,0,499,0,,58%,第2轮,1 : 3,0,3,4,4,8
38,2018-10-28 21:30,4,,,0,主,13,5.94,0,23,82,59,272,0,354,0,,30%,第10轮,0 : 4,0,1,1,6,7
31,2018-12-06 03:45,9,,,1,主,13,6.46,0,16,60,65,172,0,253,0,,26%,第15轮,1 : 3,0,6,5,5,10
49,2019-01-12 23:00,5,,,2,主,22,7.05,1,12,67,95,327,0,434,0,,42%,第22轮,2 : 1,1,1,1,9,12
55,2019-02-02 23:00,16,,,1,主,11,6.72,0,28,69,95,369,1,493,1,,54%,第25轮,1 : 1,0,6,4,10,15
54,2019-02-23 20:30,6,,,2,主,12,6.96,0,23,62,73,145,0,241,0,,30%,第27轮,2 : 1,0,4,4,6,10
60,2019-03-16 23:00,3,,,1,主,12,6.41,0,39,80,66,411,1,517,0,,62%,第31轮,1 : 2,0,2,4,9,13
57,2019-03-30 23:00,6,,,2,主,15,7.09,1,7,64,77,248,0,332,0,,37%,第32轮,2 : 0,0,1,4,2,7
54,2018-09-22 22:00,0,,,4,主,15,7.46,0,20,68,90,272,1,383,0,,38%,第6轮,4 : 0,1,5,1,10,12
38,2019-04-28 21:05,6,,,0,主,16,6.57,0,11,60,78,189,0,278,0,,30%,第36轮,0 : 1,0,0,1,1,2
49,2018-12-30 22:15,5,,,2,主,21,7.53,0,20,73,77,263,2,362,0,,43%,第20轮,2 : 0,2,5,3,12,17
54,2019-05-12 22:00,6,,,1,主,15,6.49,0,22,77,72,279,2,375,0,,40%,第38轮,1 : 3,0,5,4,10,14
47,2019-04-13 22:00,11,,,2,主,15,7.47,0,27,62,59,224,3,313,0,,46%,第34轮,2 : 0,0,7,8,6,14
42,2018-12-26 23:00,2,,,1,主,17,5.95,0,19,68,82,321,0,422,0,,49%,第19轮,1 : 5,0,4,8,3,11
52,2019-03-02 23:00,3,,,1,主,16,6.33,0,40,75,88,337,0,465,0,,56%,第29轮,1 : 3,0,4,5,13,18
