confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
52,2018-10-20 22:00,9,,,4,主,12,7.09,0,22,64,77,234,2,335,0,,40%,第9轮,4 : 2,1,5,4,17,22
43,2018-11-10 20:30,7,,,1,主,12,6.69,0,20,77,64,410,1,495,0,,61%,第12轮,2 : 1,0,6,4,12,16
63,2018-09-30 23:00,5,,,1,主,9,6.79,0,31,62,75,246,1,353,0,,54%,第7轮,1 : 2,1,5,7,10,18
51,2018-08-18 19:30,8,,,0,主,22,7.03,0,23,64,73,245,1,342,0,,51%,第2轮,0 : 0,0,1,4,8,12
52,2018-09-02 20:30,2,,,2,主,12,6.74,0,20,66,49,187,0,256,0,,28%,第4轮,2 : 3,0,3,5,7,12
53,2018-09-22 22:00,2,,,0,主,16,5.84,0,7,67,53,168,0,228,0,,21%,第6轮,0 : 5,0,2,1,1,2
48,2018-12-01 04:00,7,,,2,主,26,7.04,0,20,61,81,236,0,337,0,,48%,第14轮,2 : 1,0,3,9,6,15
50,2019-01-02 01:30,6,,,0,主,14,5.9,0,18,74,58,239,0,315,0,,27%,第21轮,0 : 3,0,3,2,3,5
40,2019-04-21 23:00,8,,,0,主,15,6.26,0,10,55,65,131,0,206,0,,24%,第35轮,0 : 2,0,2,4,3,7
57,2019-02-03 01:30,5,,,2,主,17,7.11,0,17,61,70,147,3,237,1,,27%,第25轮,2 : 0,2,5,3,6,12
53,2019-02-27 03:45,7,,,0,主,23,6.29,0,12,56,66,194,0,272,0,,33%,第28轮,0 : 3,0,0,0,5,5
40,2019-01-12 23:00,8,,,0,主,13,6.8,0,15,57,81,196,1,293,0,,39%,第22轮,0 : 0,0,0,0,2,2
50,2019-03-09 23:00,7,,,2,主,13,7.06,0,16,65,59,166,3,244,0,,29%,第30轮,2 : 0,2,7,3,10,15
46,2019-03-31 21:05,10,,,0,主,27,6.63,0,9,55,80,162,0,251,0,,29%,第32轮,1 : 2,0,3,3,3,6
32,2018-12-23 01:30,5,,,1,主,17,5.97,0,16,66,46,166,0,228,1,,26%,第18轮,1 : 5,1,3,4,3,9
54,2018-12-08 23:00,15,,,1,主,13,7.02,0,16,60,66,185,3,270,0,,36%,第16轮,1 : 0,1,4,5,6,12
57,2019-02-23 03:45,11,,,1,主,23,6.15,0,12,66,75,238,4,329,0,,35%,第27轮,1 : 5,0,6,5,8,13
48,2018-11-03 23:00,4,,,0,主,13,6.55,0,18,61,68,207,1,294,0,,40%,第11轮,0 : 1,0,2,6,4,10
58,2019-05-05 00:30,8,,,2,主,21,6.66,1,23,63,69,208,1,301,0,,39%,第37轮,2 : 3,0,8,7,11,19
