confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
62,2018-09-01 22:00,7,,,0,主,16,6.73,0,24,78,73,365,0,462,0,,51%,第4轮,0 : 2,0,6,3,17,20
43,2018-10-28 21:30,10,,,2,主,22,6.59,0,15,78,54,346,3,418,2,,42%,第10轮,2 : 2,0,3,4,10,16
59,2018-08-21 03:00,17,,,0,主,14,6.49,0,16,78,58,307,1,382,0,,37%,第2轮,0 : 2,0,2,1,7,8
53,2018-09-22 22:00,15,,,0,主,29,6.95,0,21,79,60,431,2,514,0,,62%,第6轮,0 : 0,0,4,9,7,16
40,2019-02-28 04:00,14,,,1,主,18,6.49,0,22,80,47,334,0,403,0,,45%,第28轮,1 : 3,0,2,5,12,17
47,2018-10-06 22:00,9,,,0,主,17,6.48,0,20,83,64,579,0,663,0,,67%,第8轮,0 : 1,0,4,5,6,11
48,2018-12-26 23:00,14,,,0,主,10,7.06,0,27,82,71,422,1,521,0,,62%,第19轮,0 : 0,1,5,8,22,31
66,2018-11-11 01:30,7,,,0,主,20,6.51,0,24,66,64,249,0,337,0,,35%,第12轮,0 : 1,0,5,5,6,11
50,2018-12-30 20:00,7,,,0,主,13,6.44,0,14,77,66,339,0,419,0,,34%,第20轮,0 : 1,0,0,1,3,4
46,2019-01-12 23:00,12,,,1,主,33,6.67,1,24,76,63,350,0,437,0,,55%,第22轮,1 : 2,0,6,4,11,16
55,2019-04-14 21:05,10,,,1,主,22,6.55,0,11,71,57,221,0,289,0,,28%,第34轮,1 : 3,0,3,2,5,7
60,2019-04-27 22:00,15,,,0,主,21,7.08,0,10,64,61,260,0,331,0,,36%,第36轮,0 : 0,0,0,5,3,8
46,2019-05-12 22:00,4,,,5,主,16,7.02,1,13,80,57,377,1,448,0,,45%,第38轮,5 : 3,3,8,0,14,18
44,2019-02-09 23:00,12,,,1,主,17,6.82,0,29,82,49,440,5,523,0,,57%,第26轮,1 : 1,0,5,9,16,25
44,2019-03-09 20:30,10,,,1,主,28,6.45,0,26,82,61,524,0,611,1,,63%,第30轮,1 : 2,0,3,2,12,15
47,2018-12-15 23:00,9,,,1,主,27,6.96,0,13,74,59,332,1,405,0,,43%,第17轮,1 : 0,1,1,2,5,8
68,2019-03-30 23:00,14,,,2,主,15,7.26,0,12,77,68,368,2,450,1,,48%,第32轮,2 : 0,1,5,3,14,19
45,2018-12-01 23:00,13,,,2,主,9,7.23,0,15,80,58,467,1,541,0,,59%,第14轮,2 : 0,3,9,6,20,29
50,2019-02-02 23:00,5,,,2,主,24,7.03,0,27,76,53,297,0,377,1,,37%,第25轮,2 : 0,0,6,7,9,17
