confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
38,2018-12-15 20:30,12,,,1,客,11,6.35,0,15,78,55,289,0,359,0,,33%,第17轮,3 : 1,1,2,1,7,9
53,2018-08-12 00:30,2,,,2,客,23,6.62,0,15,75,69,345,0,429,0,,43%,第1轮,2 : 2,0,5,4,4,8
62,2018-12-03 00:15,6,,,0,客,16,6.42,0,13,73,60,332,1,406,0,,42%,第14轮,1 : 0,1,3,2,6,9
55,2018-08-25 22:00,8,,,2,客,21,6.7,0,15,78,74,320,1,410,0,,50%,第3轮,2 : 2,0,3,4,7,11
56,2018-12-29 23:00,9,,,0,客,16,6.5,0,20,73,63,372,0,455,0,,55%,第20轮,1 : 0,0,4,3,10,13
55,2018-10-06 22:00,11,,,2,客,11,6.87,0,26,74,66,357,2,451,0,,49%,第8轮,1 : 2,0,8,9,8,17
35,2018-10-29 00:00,11,,,1,客,16,6.66,0,20,80,45,372,1,438,1,,46%,第10轮,2 : 1,0,6,3,10,14
68,2019-02-09 23:00,15,,,0,客,22,6.81,0,16,75,56,375,1,448,0,,56%,第26轮,1 : 0,0,4,3,5,8
43,2019-01-30 03:45,9,,,1,客,25,6.87,0,9,71,80,321,1,411,0,,42%,第24轮,0 : 1,0,5,4,6,10
47,2019-02-27 03:45,8,,,3,客,10,7.21,0,16,80,60,474,3,553,0,,67%,第28轮,0 : 3,0,4,2,10,12
49,2019-03-31 01:30,12,,,2,客,24,7.36,0,21,79,58,380,0,459,0,,51%,第32轮,0 : 2,0,9,4,13,17
62,2019-03-09 23:00,6,,,2,客,20,6.52,0,20,75,56,388,2,466,0,,55%,第30轮,3 : 2,0,3,0,7,7
49,2019-04-13 22:00,9,,,0,客,28,6.43,0,21,76,80,417,4,522,0,,59%,第34轮,2 : 0,0,1,1,8,9
42,2018-09-23 23:00,13,,,0,客,20,6.55,0,27,76,44,274,2,347,0,,38%,第6轮,2 : 0,0,6,3,7,10
58,2018-12-26 23:00,12,,,5,客,10,7.37,0,19,72,80,340,1,440,1,,51%,第19轮,1 : 5,0,6,5,7,13
44,2019-01-19 23:00,9,,,1,客,21,6.5,0,22,74,76,402,1,501,0,,61%,第23轮,2 : 1,0,2,0,7,7
51,2019-05-12 22:00,4,,,2,客,16,6.58,0,18,81,52,391,0,461,0,,45%,第38轮,2 : 2,0,9,7,9,16
40,2019-04-27 22:00,4,,,0,客,20,6.71,0,33,80,51,496,0,580,0,,64%,第36轮,0 : 0,1,3,6,15,22
60,2018-11-11 22:15,8,,,0,客,21,6.78,0,10,75,57,261,1,329,0,,31%,第12轮,0 : 0,0,1,3,3,6
