confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
72,2018-10-28 00:30,14,,,1,主,16,6.8,0,47,83,60,496,4,607,0,,64%,第10轮,1 : 1,0,7,5,16,21
35,2018-12-09 03:45,11,,,0,主,20,6.27,0,24,80,62,347,6,439,0,,42%,第16轮,0 : 2,0,3,3,8,11
50,2018-09-01 19:30,12,,,1,主,23,6.6,0,17,81,58,440,2,517,0,,51%,第4轮,1 : 2,0,5,1,11,12
69,2018-12-01 23:00,12,,,2,主,27,7.28,0,11,69,66,235,7,319,1,,38%,第14轮,2 : 0,1,3,0,5,7
45,2018-10-06 22:00,7,,,1,主,13,6.44,0,11,75,76,389,5,481,0,,51%,第8轮,1 : 2,1,2,1,5,7
49,2018-08-18 22:00,21,,,2,主,24,7.14,1,13,83,47,341,0,401,0,,43%,第2轮,2 : 0,0,2,2,4,7
50,2019-02-03 22:05,13,,,0,主,12,6.48,0,23,78,55,364,2,444,0,,45%,第25轮,0 : 1,1,6,7,9,17
63,2018-12-26 23:00,5,,,2,主,22,6.9,0,11,71,66,256,3,336,0,,34%,第19轮,2 : 1,0,5,2,8,10
70,2019-03-09 23:00,6,,,3,主,24,7.13,0,16,85,51,468,4,539,0,,53%,第30轮,3 : 1,1,8,2,15,18
59,2019-04-13 03:00,8,,,0,主,13,6.59,0,24,84,47,733,4,808,0,,72%,第34轮,0 : 1,0,5,2,10,12
56,2018-09-22 22:00,5,,,3,主,23,7.2,0,15,86,61,528,5,609,0,,62%,第6轮,3 : 1,2,8,5,11,18
58,2019-04-28 19:00,13,,,3,主,19,7.54,0,24,84,55,559,4,642,0,,67%,第36轮,3 : 0,2,12,4,18,24
36,2019-05-12 22:00,17,,,0,主,16,6.81,0,15,87,45,427,1,488,0,,47%,第38轮,0 : 0,0,3,4,5,9
57,2018-12-29 23:00,9,,,0,主,19,6.53,0,25,76,61,388,2,476,1,,62%,第20轮,0 : 1,0,7,4,11,16
45,2019-01-12 23:00,11,,,1,主,10,6.46,0,44,79,72,482,3,601,0,,72%,第22轮,1 : 2,0,6,6,17,23
53,2019-02-24 01:30,14,,,0,主,19,6.37,0,29,85,52,487,2,570,0,,65%,第27轮,1 : 4,0,5,5,20,25
59,2019-02-27 03:45,11,,,2,主,14,6.95,0,13,83,56,392,1,462,0,,49%,第28轮,2 : 1,2,3,2,15,19
54,2018-11-10 23:00,9,,,0,主,13,6.85,0,42,79,65,421,0,528,0,,63%,第12轮,0 : 0,1,5,8,13,22
56,2019-03-30 23:00,14,,,2,主,15,7.23,0,19,84,74,536,4,633,0,,59%,第32轮,2 : 0,0,4,4,14,18
