confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
49,2018-08-18 19:30,3,,,0,客,12,6.51,0,11,60,74,238,0,323,1,,49%,第2轮,0 : 0,0,6,6,4,11
51,2018-12-06 03:45,5,,,1,客,25,6.93,0,11,63,68,140,1,220,0,,24%,第15轮,1 : 1,1,5,3,4,8
42,2018-10-27 22:00,3,,,0,客,16,6.77,0,15,72,81,342,0,438,0,,50%,第10轮,0 : 0,1,0,2,3,6
47,2018-09-22 22:00,2,,,0,客,25,6.71,0,15,69,74,226,1,316,0,,38%,第6轮,0 : 0,0,3,3,3,6
46,2018-10-07 00:30,4,,,2,客,18,6.89,0,18,58,66,160,0,244,0,,27%,第8轮,3 : 2,0,8,5,7,12
52,2018-11-27 04:30,7,,,2,客,12,6.95,1,20,81,74,378,1,473,0,,43%,第13轮,1 : 2,1,3,3,13,18
56,2018-09-02 00:30,7,,,1,客,18,6.57,0,4,63,62,156,1,223,0,,22%,第4轮,2 : 1,0,2,0,3,3
41,2018-12-15 23:00,5,,,1,客,17,7.02,0,4,55,68,169,2,243,0,,27%,第17轮,0 : 1,0,5,2,6,8
33,2019-04-28 00:30,9,,,1,客,23,6.69,0,10,81,75,416,2,503,0,,50%,第36轮,1 : 1,0,1,3,6,9
54,2019-02-12 04:00,7,,,1,客,21,6.9,0,12,74,84,351,1,448,0,,41%,第26轮,1 : 1,0,3,1,8,9
43,2019-03-16 23:00,7,,,2,客,25,6.58,0,25,77,86,342,0,453,0,,51%,第31轮,2 : 2,0,4,3,9,12
43,2019-04-02 03:00,5,,,0,客,17,6.24,0,10,65,63,230,1,304,0,,29%,第32轮,2 : 0,0,1,0,3,3
50,2018-12-26 23:00,8,,,0,客,15,6.2,0,14,63,67,171,0,252,0,,25%,第19轮,4 : 0,0,2,1,5,6
43,2018-12-29 23:00,8,,,1,客,22,6.94,0,26,71,81,249,3,359,0,,37%,第20轮,1 : 1,0,2,4,4,8
47,2019-02-02 20:30,8,,,0,客,17,6.67,0,11,67,84,218,1,314,0,,28%,第25轮,1 : 0,0,2,2,6,8
41,2019-04-13 03:00,8,,,1,客,21,7.21,0,12,64,64,243,3,322,0,,28%,第34轮,0 : 1,0,5,2,9,11
35,2019-01-13 01:30,7,,,1,客,22,6.59,0,17,74,86,270,1,374,0,,34%,第22轮,2 : 1,0,2,1,8,9
41,2019-05-12 22:00,4,,,4,客,15,7.42,0,9,79,57,305,3,374,0,,32%,第38轮,0 : 4,0,6,3,10,13
23,2019-03-03 01:30,7,,,0,客,21,6.16,0,19,79,50,373,2,444,0,,44%,第29轮,2 : 0,0,2,2,15,17
