confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
41,2018-11-04 23:00,6,,,1,客,19,5.97,0,20,79,60,283,1,364,1,,33%,第11轮,6 : 1,0,6,3,9,13
58,2018-08-18 22:00,4,,,1,客,11,6.49,0,16,62,78,231,0,325,0,,42%,第2轮,2 : 1,0,4,6,9,15
38,2018-09-01 22:00,7,,,2,客,19,7.26,0,22,77,82,346,1,451,1,,49%,第4轮,0 : 2,1,6,1,16,19
71,2018-09-22 22:00,2,,,0,客,20,6.26,0,14,81,72,411,1,498,0,,39%,第6轮,3 : 0,0,1,2,5,7
42,2018-09-29 22:00,7,,,0,客,32,6.6,0,18,82,44,405,2,469,0,,51%,第7轮,2 : 0,0,6,2,15,17
45,2018-11-24 23:00,10,,,2,客,19,6.63,0,33,80,89,522,0,644,0,,63%,第13轮,3 : 2,0,8,6,13,19
52,2018-10-20 22:00,3,,,0,客,18,6.76,0,19,72,84,266,0,369,0,,43%,第9轮,0 : 0,0,4,2,6,8
32,2018-12-22 23:00,13,,,3,客,12,7.03,0,6,65,62,268,2,338,1,,38%,第18轮,1 : 3,1,6,2,9,13
56,2019-01-03 03:45,7,,,0,客,20,6.97,0,12,66,59,240,0,311,0,,28%,第21轮,0 : 0,0,2,1,5,6
35,2019-04-21 00:30,10,,,1,客,14,6.39,0,22,76,53,368,1,444,0,,57%,第35轮,3 : 1,1,3,6,8,15
53,2019-04-24 02:45,9,,,1,客,21,6.78,0,12,68,82,281,1,376,0,,38%,第31轮,1 : 1,0,4,1,7,8
32,2019-05-04 22:00,8,,,0,客,14,6.12,0,22,76,47,340,2,411,0,,44%,第37轮,3 : 0,0,1,3,8,11
55,2019-01-12 23:00,4,,,2,客,17,6.98,0,7,56,61,172,0,240,1,,28%,第22轮,1 : 2,1,3,3,3,8
46,2018-12-08 23:00,4,,,0,客,17,6.46,0,16,74,63,388,2,469,0,,64%,第16轮,1 : 0,0,1,7,5,12
32,2019-03-02 23:00,6,,,2,客,20,6.6,0,19,65,60,222,0,301,0,,36%,第29轮,3 : 2,0,3,5,4,9
37,2019-03-30 23:00,7,,,1,客,9,6.82,0,14,63,63,285,0,362,0,,40%,第32轮,0 : 1,1,2,1,6,8
38,2019-02-24 22:05,5,,,0,客,16,6.36,0,21,71,53,296,1,371,0,,38%,第27轮,2 : 0,0,4,4,6,10
30,2018-12-06 04:00,7,,,1,客,15,6.43,0,26,81,64,412,1,503,0,,48%,第15轮,3 : 1,1,5,6,11,18
45,2019-02-02 23:00,9,,,1,客,17,6.76,0,8,66,84,322,1,415,0,,46%,第25轮,1 : 1,0,4,0,10,10
