confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
40,2018-08-11 22:00,6,,,2,主,18,7.05,0,20,75,81,358,1,460,0,,53%,第1轮,2 : 0,0,5,8,10,18
45,2018-09-16 00:30,7,,,1,主,25,6.73,0,21,75,62,326,1,410,0,,43%,第5轮,1 : 2,0,5,3,10,13
45,2018-10-06 22:00,3,,,0,主,19,6,0,24,78,74,302,0,400,0,,47%,第8轮,0 : 4,0,2,5,9,14
50,2018-08-26 20:30,8,,,2,主,26,6.99,0,18,69,73,258,1,350,0,,44%,第3轮,2 : 1,1,5,1,11,13
43,2018-10-27 22:00,10,,,3,主,19,7.35,0,7,78,64,407,1,479,0,,48%,第10轮,3 : 0,2,6,1,9,12
39,2018-11-24 23:00,7,,,0,主,14,6.22,0,13,69,64,301,1,379,0,,36%,第13轮,0 : 3,0,1,1,4,5
47,2019-04-27 22:00,12,,,1,主,17,6.56,0,26,83,46,454,1,527,0,,56%,第36轮,1 : 2,0,1,3,7,10
57,2018-12-29 23:00,15,,,1,主,7,6.73,0,22,86,70,503,2,597,0,,63%,第20轮,1 : 1,1,5,5,6,12
32,2019-02-09 23:00,2,,,1,主,22,6.81,0,19,67,79,249,0,347,0,,44%,第26轮,1 : 0,0,2,3,4,7
48,2019-03-03 20:00,5,,,2,主,15,6.81,0,12,78,45,330,1,388,0,,39%,第29轮,2 : 1,0,5,3,3,6
52,2019-05-12 22:00,5,,,1,主,17,6.16,0,22,81,55,373,1,451,0,,48%,第38轮,1 : 4,0,8,5,12,17
50,2019-04-16 03:00,7,,,0,主,13,6.32,0,18,71,58,275,1,352,0,,34%,第34轮,0 : 1,0,3,5,6,11
47,2019-04-24 02:45,12,,,1,主,14,6.58,0,12,79,69,533,1,615,0,,62%,第31轮,1 : 1,0,4,0,15,15
40,2019-04-03 02:45,11,,,4,主,22,7.17,0,18,81,45,425,0,488,0,,47%,第33轮,4 : 1,0,7,2,13,15
63,2018-09-02 23:00,8,,,2,主,15,6.92,0,11,65,75,216,0,302,0,,34%,第4轮,2 : 1,0,3,3,4,7
49,2019-01-19 23:00,3,,,0,主,17,6.92,0,14,75,83,334,2,433,0,,55%,第23轮,0 : 0,0,4,0,9,9
64,2018-12-05 04:00,7,,,1,主,19,6.68,0,8,66,64,246,0,318,0,,30%,第15轮,1 : 2,0,7,2,9,11
62,2018-12-15 23:00,15,,,3,主,13,6.87,0,9,83,66,599,2,676,0,,72%,第17轮,3 : 2,0,8,3,14,17
57,2018-12-27 03:30,10,,,1,主,18,6.45,0,11,78,81,311,0,403,0,,35%,第19轮,1 : 2,0,2,4,7,11
