confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
37,2018-09-29 19:30,3,,,3,主,25,6.94,1,17,82,80,378,2,477,0,,49%,第7轮,3 : 1,1,3,3,4,9
45,2018-09-23 20:30,7,,,0,主,22,6.78,0,11,74,61,239,1,312,0,,28%,第6轮,0 : 0,2,1,1,3,6
53,2018-08-18 22:00,11,,,1,主,21,6.6,0,23,81,65,433,2,523,1,,61%,第2轮,1 : 2,0,5,1,9,11
33,2018-11-03 23:00,13,,,4,主,14,7.05,0,15,81,50,480,1,546,0,,63%,第11轮,4 : 2,0,10,4,18,22
49,2018-12-05 03:45,9,,,3,主,12,7.13,0,19,77,51,409,7,486,0,,61%,第15轮,3 : 1,0,11,8,9,17
52,2018-11-24 23:00,7,,,0,主,21,6.09,0,13,75,59,303,2,377,0,,31%,第13轮,0 : 4,1,1,4,4,9
51,2018-12-22 23:00,11,,,0,主,19,6.51,0,32,76,59,329,2,422,0,,52%,第18轮,0 : 2,0,7,7,11,18
51,2019-01-03 03:45,11,,,2,主,10,6.76,0,14,79,71,425,1,511,0,,54%,第21轮,2 : 2,0,6,1,12,13
77,2019-03-03 01:30,15,,,2,主,26,7.23,0,13,83,66,476,2,557,1,,56%,第29轮,2 : 0,2,4,3,4,10
38,2018-09-01 22:00,9,,,0,主,22,6.54,0,18,80,53,398,1,470,0,,48%,第4轮,0 : 1,0,3,3,10,13
53,2019-02-05 04:00,9,,,1,主,18,6.71,0,11,65,70,180,0,261,0,,27%,第25轮,1 : 1,1,2,8,4,13
52,2019-02-23 03:45,7,,,3,主,23,7.11,0,34,82,64,492,3,593,0,,55%,第27轮,3 : 1,0,7,10,11,21
63,2019-01-12 20:30,12,,,1,主,11,6.93,0,20,81,52,336,1,409,0,,41%,第22轮,1 : 0,0,3,5,6,11
71,2018-12-08 23:00,10,,,3,主,19,6.88,0,24,81,70,367,0,461,0,,48%,第16轮,3 : 2,0,6,6,7,13
57,2019-03-16 23:00,7,,,4,主,16,6.92,0,16,85,43,564,2,625,1,,64%,第31轮,4 : 3,0,5,9,6,16
88,2018-10-20 22:00,7,,,0,主,31,6.67,0,30,81,50,334,1,415,0,,44%,第9轮,0 : 1,0,4,6,7,13
51,2019-03-31 01:30,7,,,0,主,23,6.53,0,17,78,57,371,0,445,0,,49%,第32轮,0 : 2,1,1,0,2,3
38,2019-04-20 22:00,14,,,2,主,19,6.68,0,21,80,45,370,3,439,0,,49%,第35轮,2 : 2,0,3,1,10,11
68,2019-05-04 22:00,24,,,3,主,18,7.57,0,7,81,63,458,3,531,0,,56%,第37轮,3 : 0,0,6,1,16,17
