confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
56,2018-08-19 00:30,9,,,3,主,16,7.05,0,15,89,56,665,5,741,0,,62%,第2轮,3 : 2,1,11,2,21,24
46,2018-09-30 00:30,4,,,1,主,13,6.67,0,13,83,49,506,5,573,0,,47%,第7轮,1 : 1,0,4,3,7,10
44,2018-09-15 22:00,10,,,4,主,10,7.18,0,15,87,67,703,1,786,1,,77%,第5轮,4 : 1,0,7,2,15,18
52,2018-11-05 00:00,13,,,3,主,21,7.12,0,19,90,54,832,6,911,0,,74%,第11轮,3 : 1,1,6,4,10,15
59,2018-09-01 22:00,9,,,2,主,12,7.11,0,25,88,45,658,7,735,0,,73%,第4轮,2 : 0,0,6,5,19,24
46,2018-10-20 19:30,5,,,2,主,12,6.69,0,18,89,33,582,3,636,0,,62%,第9轮,2 : 2,0,6,4,17,21
53,2019-04-04 02:45,10,,,3,主,19,7.3,0,20,91,33,722,1,776,0,,68%,第27轮,3 : 0,1,4,2,14,17
57,2019-02-28 04:00,7,,,2,主,27,7.03,1,12,81,63,418,4,497,0,,47%,第28轮,2 : 0,0,1,2,9,12
40,2019-03-10 22:05,21,,,1,主,14,6.67,0,38,90,41,780,2,861,0,,76%,第30轮,1 : 1,0,6,6,16,22
50,2019-02-02 23:00,22,,,5,主,27,7.89,0,18,88,29,711,4,762,1,,65%,第25轮,5 : 0,0,7,4,18,23
39,2018-12-22 23:00,13,,,0,主,18,6.61,0,36,88,39,656,7,738,0,,72%,第18轮,0 : 1,1,5,4,12,17
51,2019-05-05 21:00,15,,,3,主,22,7.6,0,20,85,45,490,8,563,0,,58%,第37轮,3 : 0,1,9,4,14,19
72,2018-12-09 01:30,10,,,2,主,28,7.29,0,6,81,39,376,0,421,0,,39%,第16轮,2 : 0,0,5,2,6,8
65,2019-01-13 01:30,14,,,2,主,18,6.97,0,15,85,37,666,7,725,0,,66%,第22轮,2 : 1,0,6,2,8,10
44,2019-01-03 03:45,22,,,0,主,18,6.97,0,24,85,45,704,10,783,0,,72%,第21轮,0 : 0,2,6,5,10,17
40,2018-11-11 22:15,8,,,0,主,19,6.72,0,17,89,47,642,7,713,0,,69%,第12轮,0 : 0,0,4,5,10,15
50,2018-12-02 20:00,8,,,2,主,18,7.18,0,14,89,61,662,3,740,0,,66%,第14轮,2 : 0,1,9,3,12,16
50,2019-04-09 03:00,18,,,2,主,12,7.16,0,15,85,32,455,4,506,0,,54%,第33轮,2 : 0,1,7,2,13,16
58,2019-04-23 03:00,12,,,2,主,15,6.83,0,43,88,39,646,2,730,0,,76%,第35轮,2 : 2,0,9,3,19,22
