confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
44,2018-11-04 01:30,13,,,1,主,13,6.75,0,16,78,61,297,3,377,0,,38%,第11轮,1 : 1,0,4,4,9,13
69,2018-12-06 03:45,6,,,3,主,5,7.17,0,20,85,70,619,3,712,0,,74%,第15轮,1 : 3,2,12,5,11,18
41,2018-08-21 03:00,16,,,2,主,22,7.2,0,23,89,50,580,2,655,1,,63%,第2轮,0 : 2,1,6,3,11,16
49,2018-10-21 00:30,8,,,1,主,14,6.91,0,14,81,62,528,0,604,0,,52%,第9轮,0 : 1,1,2,0,9,10
55,2018-12-08 20:30,13,,,4,主,13,7.24,1,13,84,63,571,5,652,0,,59%,第16轮,0 : 4,1,4,2,7,11
54,2018-09-30 00:30,7,,,1,主,15,6.69,0,20,84,77,543,2,642,0,,53%,第7轮,1 : 1,0,6,2,11,13
40,2018-09-15 19:30,6,,,2,主,17,6.78,0,11,75,59,303,3,376,0,,40%,第5轮,1 : 2,0,10,5,12,17
58,2019-02-24 22:05,13,,,0,主,19,6.77,0,26,85,52,524,0,602,0,,65%,第27轮,0 : 0,0,1,5,2,7
61,2018-11-24 23:00,9,,,3,主,13,7.13,0,18,83,61,581,3,663,0,,64%,第13轮,0 : 3,2,7,3,5,10
54,2019-03-17 22:15,10,,,2,主,19,6.74,0,30,84,62,535,3,630,1,,63%,第31轮,1 : 2,1,6,2,12,16
50,2018-09-01 19:30,8,,,2,主,18,6.77,0,8,79,61,422,0,491,0,,49%,第4轮,1 : 2,0,4,3,7,10
42,2019-04-06 03:00,6,,,3,主,11,6.92,0,25,82,66,499,7,597,0,,67%,第33轮,1 : 3,1,5,4,12,17
60,2019-04-21 23:00,12,,,2,主,15,7.2,0,20,86,43,577,5,645,1,,76%,第35轮,0 : 2,0,6,5,11,17
57,2019-05-05 02:45,5,,,3,主,13,6.99,0,14,84,74,615,2,705,0,,69%,第37轮,2 : 3,0,4,2,9,11
61,2018-12-22 04:00,16,,,2,主,16,7.15,0,15,85,63,614,4,696,0,,62%,第18轮,0 : 2,0,6,5,10,15
57,2019-01-12 23:00,9,,,1,主,10,6.85,0,16,85,64,693,0,773,1,,71%,第22轮,0 : 1,0,3,2,7,10
32,2019-01-04 04:00,11,,,1,主,18,6.53,0,13,79,72,514,3,602,0,,50%,第21轮,2 : 1,0,5,2,5,7
47,2019-02-05 04:00,14,,,1,主,16,6.76,0,18,84,56,638,3,715,0,,73%,第25轮,1 : 1,0,6,3,8,11
54,2019-03-04 00:15,10,,,0,主,18,6.91,0,21,76,73,411,4,509,0,,58%,第29轮,0 : 0,2,3,4,3,9
