confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
64,2018-09-29 22:00,13,,,2,主,15,7.42,0,29,93,41,812,0,882,0,,80%,第7轮,2 : 0,1,8,4,23,28
47,2018-08-19 20:30,18,,,6,主,5,7.55,1,24,93,45,720,2,791,0,,77%,第2轮,6 : 1,1,14,4,27,33
33,2018-12-01 23:00,12,,,3,主,14,7.04,0,17,91,54,733,4,808,0,,73%,第14轮,3 : 1,0,6,3,13,16
57,2019-01-15 04:00,12,,,3,主,10,7.28,1,31,92,39,833,6,909,1,,76%,第22轮,3 : 0,0,9,2,21,25
47,2018-10-20 22:00,5,,,5,主,15,7.62,0,19,88,50,630,2,701,0,,69%,第9轮,5 : 0,0,10,2,22,24
56,2018-09-15 22:00,13,,,3,主,16,7.46,0,20,91,49,686,5,760,0,,65%,第5轮,3 : 0,0,9,4,24,28
59,2018-11-04 23:00,15,,,6,主,12,7.59,1,12,91,35,696,4,747,0,,67%,第11轮,6 : 1,1,8,2,15,19
44,2018-09-02 00:30,8,,,2,主,9,6.76,0,21,90,42,730,3,796,0,,78%,第4轮,2 : 1,0,8,6,18,24
62,2018-12-15 20:30,4,,,3,主,15,6.97,0,18,87,56,645,8,727,0,,67%,第17轮,3 : 1,0,5,4,9,13
48,2019-04-04 02:45,14,,,2,主,11,7.53,0,30,91,28,651,3,712,0,,79%,第33轮,2 : 0,2,11,13,12,27
43,2018-11-12 00:30,11,,,3,主,13,7.05,0,25,92,40,662,4,731,0,,65%,第12轮,3 : 1,1,5,1,15,17
53,2019-04-20 19:30,15,,,1,主,15,7.03,0,19,87,60,527,3,609,0,,61%,第35轮,1 : 0,0,4,2,13,15
68,2019-01-04 04:00,8,,,2,主,14,6.89,0,11,81,64,517,2,594,0,,50%,第21轮,2 : 1,1,4,0,8,9
34,2019-05-07 03:00,7,,,1,主,14,6.74,0,25,86,50,595,1,671,0,,61%,第37轮,1 : 0,0,5,8,11,19
79,2019-02-04 00:30,19,,,3,主,13,7.32,0,19,88,46,572,3,640,0,,59%,第25轮,3 : 1,0,12,5,14,19
44,2019-02-28 04:00,11,,,1,主,14,6.95,0,30,88,43,746,0,819,1,,76%,第28轮,1 : 0,0,7,4,15,20
77,2019-02-11 00:00,11,,,6,主,12,7.73,0,7,93,50,639,1,697,1,,56%,第26轮,6 : 0,0,9,4,10,15
59,2019-03-10 01:30,10,,,3,主,7,6.99,0,22,91,23,699,12,756,0,,71%,第30轮,3 : 1,2,9,5,12,19
54,2018-12-22 23:00,10,,,2,主,17,6.64,0,45,89,48,689,1,783,0,,78%,第18轮,2 : 3,0,5,5,14,19
