confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
41,2018-09-22 22:00,8,,,1,主,16,6.75,0,24,85,69,619,1,713,0,,64%,第6轮,1 : 1,0,6,5,10,15
65,2018-08-28 03:00,7,,,0,主,11,6.28,0,26,77,81,410,3,520,0,,57%,第3轮,0 : 3,0,5,3,20,23
43,2018-08-11 03:00,11,,,2,主,26,6.99,0,12,82,58,431,1,502,1,,46%,第1轮,2 : 1,0,6,0,7,8
67,2018-12-08 23:00,10,,,4,主,15,7.27,0,25,86,70,565,0,660,0,,63%,第16轮,4 : 1,0,11,6,14,20
54,2018-12-06 04:00,7,,,2,主,15,6.56,0,11,79,77,373,0,461,0,,45%,第15轮,2 : 2,0,7,4,6,10
43,2019-01-30 04:00,6,,,2,主,3,6.55,0,34,87,60,593,2,689,1,,74%,第24轮,2 : 2,2,9,12,13,28
54,2018-10-07 00:30,7,,,3,主,11,6.91,0,44,83,56,561,1,662,0,,73%,第8轮,3 : 2,0,10,7,11,18
40,2019-04-25 03:00,12,,,0,主,13,6.17,0,8,78,62,347,2,419,0,,37%,第31轮,0 : 2,0,1,2,10,12
52,2019-04-28 23:30,9,,,1,主,15,6.53,0,15,84,49,421,4,489,0,,52%,第36轮,1 : 1,0,5,5,2,7
56,2019-05-12 22:00,12,,,0,主,16,6.54,0,17,85,44,576,2,639,0,,73%,第38轮,0 : 2,1,10,4,21,26
42,2019-02-24 22:05,6,,,0,主,18,6.71,0,8,74,63,260,2,333,0,,35%,第27轮,0 : 0,0,3,2,4,6
68,2019-03-02 23:00,9,,,3,主,9,6.69,0,23,80,65,452,1,541,1,,64%,第29轮,3 : 2,0,6,5,10,16
48,2019-04-14 00:30,7,,,2,主,21,6.81,0,20,77,51,330,2,403,2,,42%,第34轮,2 : 1,2,4,4,6,14
38,2019-03-30 23:00,9,,,2,主,16,6.85,0,8,79,56,381,3,448,0,,52%,第32轮,2 : 1,1,5,2,5,8
50,2018-12-31 00:30,7,,,4,主,12,7.06,0,11,91,52,629,10,702,0,,65%,第20轮,4 : 1,0,8,0,11,11
65,2018-10-29 00:00,4,,,2,主,15,6.71,0,18,80,61,436,1,516,1,,54%,第10轮,2 : 1,2,10,2,9,14
59,2018-12-26 23:00,10,,,3,主,14,7.04,0,13,83,55,583,4,655,0,,65%,第19轮,3 : 1,0,10,4,12,16
58,2018-11-24 23:00,3,,,0,主,23,6.69,0,31,83,57,457,1,546,0,,60%,第13轮,0 : 0,0,5,1,11,12
49,2019-01-19 23:00,8,,,2,主,12,6.79,0,16,85,40,474,1,531,1,,56%,第23轮,2 : 1,0,5,7,12,20
