confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
39,2018-11-04 03:45,11,,,3,客,21,6.87,0,7,83,51,459,1,518,0,,51%,第11轮,2 : 3,0,8,0,10,10
35,2018-08-28 03:00,5,,,3,客,23,7.33,0,6,68,70,314,2,392,0,,43%,第3轮,0 : 3,1,5,2,6,9
60,2018-09-29 22:00,7,,,2,客,17,7.23,0,8,72,74,315,3,400,1,,47%,第7轮,0 : 2,2,6,2,5,10
12,2018-10-20 22:00,14,,,1,客,13,6.88,0,15,86,53,455,3,526,0,,56%,第9轮,0 : 1,0,2,4,6,10
37,2018-09-02 23:00,10,,,1,客,23,6.42,1,32,79,57,482,3,574,0,,66%,第4轮,2 : 1,0,2,5,6,12
39,2018-08-11 19:30,4,,,2,客,27,6.89,0,17,82,65,514,1,597,0,,60%,第1轮,1 : 2,0,5,6,9,15
46,2019-02-23 20:30,15,,,0,客,16,6.64,0,26,79,74,438,3,541,0,,70%,第27轮,2 : 1,0,6,5,11,16
65,2018-12-09 03:45,12,,,2,客,23,7.17,0,14,81,53,531,1,599,0,,58%,第16轮,0 : 2,1,2,2,4,7
63,2018-12-24 00:00,8,,,6,客,14,7.38,0,3,83,74,533,6,616,0,,59%,第18轮,2 : 6,0,8,4,13,17
57,2018-12-02 22:05,7,,,2,客,21,6.25,0,11,72,54,280,2,347,1,,41%,第14轮,4 : 2,0,6,3,7,11
43,2019-03-31 23:30,9,,,1,客,16,6.42,0,13,81,71,415,2,501,0,,51%,第32轮,2 : 1,1,2,2,8,11
57,2019-01-21 00:00,6,,,2,客,13,6.95,0,32,84,76,611,1,720,0,,73%,第23轮,1 : 2,0,5,4,10,14
47,2019-04-20 19:30,10,,,0,客,26,6.45,0,7,75,62,324,2,395,0,,39%,第35轮,1 : 0,1,4,2,7,10
53,2019-03-09 23:00,16,,,1,客,17,6.56,0,17,76,61,452,4,534,0,,63%,第30轮,2 : 1,1,5,4,11,16
43,2019-02-28 04:00,10,,,0,客,23,6.2,0,17,87,63,491,0,571,0,,53%,第28轮,2 : 0,0,0,2,7,9
41,2018-09-23 00:30,6,,,2,客,18,6.95,0,15,89,51,611,0,677,1,,71%,第6轮,1 : 2,0,7,4,11,16
34,2018-11-11 01:30,8,,,1,客,18,6.95,0,23,83,63,519,3,608,0,,65%,第12轮,0 : 1,1,2,5,5,11
53,2019-05-04 19:30,11,,,0,客,15,6.5,0,12,79,58,349,2,421,0,,46%,第37轮,1 : 0,0,5,2,9,11
50,2019-01-02 01:30,9,,,3,客,9,7.29,0,8,91,50,780,2,840,0,,73%,第21轮,0 : 3,1,4,2,10,13
